,Nurse,2023-05-01-mañana,2023-05-01-tarde,2023-05-02-mañana,2023-05-02-tarde,2023-05-03-mañana,2023-05-03-tarde,2023-05-04-mañana,2023-05-04-tarde,2023-05-05-mañana,2023-05-05-tarde,2023-05-06-mañana,2023-05-06-tarde,2023-05-07-mañana,2023-05-07-tarde,2023-05-08-mañana,2023-05-08-tarde,2023-05-09-mañana,2023-05-09-tarde,2023-05-10-mañana,2023-05-10-tarde,2023-05-11-mañana,2023-05-11-tarde,2023-05-12-mañana,2023-05-12-tarde,2023-05-13-mañana,2023-05-13-tarde,2023-05-14-mañana,2023-05-14-tarde,2023-05-15-mañana,2023-05-15-tarde,2023-05-16-mañana,2023-05-16-tarde,2023-05-17-mañana,2023-05-17-tarde,2023-05-18-mañana,2023-05-18-tarde,2023-05-19-mañana,2023-05-19-tarde,2023-05-20-mañana,2023-05-20-tarde,2023-05-21-mañana,2023-05-21-tarde,2023-05-22-mañana,2023-05-22-tarde,2023-05-23-mañana,2023-05-23-tarde,2023-05-24-mañana,2023-05-24-tarde,2023-05-25-mañana,2023-05-25-tarde,2023-05-26-mañana,2023-05-26-tarde,2023-05-27-mañana,2023-05-27-tarde,2023-05-28-mañana,2023-05-28-tarde,2023-05-29-mañana,2023-05-29-tarde,2023-05-30-mañana,2023-05-30-tarde,2023-05-31-mañana,2023-05-31-tarde,objective_1,objective_2
0,person_6,-,-,-,CHX,-,CHX,-,-,-,T1,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,M,-,COM,-,COM,-,COM,-,COM,-,COM,-,-,-,DISP,-,M,-,M,-,M,-,-,-,-,-,M,-,-,T1,-,T2,-,CHX,8.0,9.0625
1,person_13,COM,-,COM,-,M,-,COM,-,-,-,-,-,COM,-,-,CHX,-,T1,-,CHX,-,-,-,CHX,-,-,-,-,COM,-,M,-,COM,-,M,-,-,-,-,-,DISP,-,DISP,-,M,-,COM,-,COM,-,-,-,-,-,M,-,M,-,COM,-,M,-,8.0,9.0625
2,person_3,M,-,M,-,COM,-,M,-,COM,-,COM,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,M,-,M,-,M,-,COM,-,M,-,DISP,-,-,-,-,-,COM,-,COM,-,COM,-,M,-,COM,-,-,-,-,T2,-,CHX,-,T2,8.0,9.0625
3,person_8,-,-,M,-,-,-,M,-,M,-,M,-,-,-,COM,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,-,CHX,-,CHX,-,-,-,CHX,-,-,-,-,M,-,COM,-,-,-,COM,-,M,-,DISP,-,-,-,-,-,-,T2,-,T2,8.0,9.0625
4,person_11,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,COM,-,COM,-,M,-,-,-,COM,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,-,T1,-,T2,-,T2,8.0,9.0625
5,person_2,COM,-,COM,-,M,-,M,-,COM,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,-,T2,-,T1,-,CHX,-,T2,-,-,-,-,-,T1,-,-,-,CHX,-,CHX,-,T2,-,CHX,-,-,-,-,M,-,M,-,M,-,8.0,9.0625
6,person_1,-,-,-,CHX,-,T2,-,CHX,-,T2,-,-,-,-,-,T1,-,CHX,-,CHX,-,T1,-,T2,-,-,-,T1,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,T1,-,CHX,-,T2,-,CHX,-,T1,-,T1,-,-,-,-,COM,-,-,-,8.0,9.0625
7,person_12,COM,-,-,-,-,-,COM,-,COM,-,-,-,M,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,-,CHX,-,-,-,T2,-,CHX,-,CHX,-,T1,-,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,-,COM,-,COM,-,COM,-,8.0,9.0625
8,person_7,DISP,-,-,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,COM,-,-,-,-,-,-,-,DISP,-,-,T1,-,T2,-,T1,-,T1,-,T1,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,M,-,-,-,-,T2,-,T1,-,CHX,8.0,9.0625
9,person_10,-,T1,-,T2,-,T1,-,T2,-,CHX,-,-,-,T1,-,T2,-,T2,-,T2,-,T2,-,CHX,-,-,-,-,COM,-,COM,-,-,-,M,-,M,-,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,-,T1,-,CHX,-,CHX,-,-,8.0,9.0625
