,Nurse,2022-05-01-mañana,2022-05-01-tarde,2022-05-02-mañana,2022-05-02-tarde,2022-05-03-mañana,2022-05-03-tarde,2022-05-04-mañana,2022-05-04-tarde,2022-05-05-mañana,2022-05-05-tarde,2022-05-06-mañana,2022-05-06-tarde,2022-05-07-mañana,2022-05-07-tarde,2022-05-08-mañana,2022-05-08-tarde,2022-05-09-mañana,2022-05-09-tarde,2022-05-10-mañana,2022-05-10-tarde,2022-05-11-mañana,2022-05-11-tarde,2022-05-12-mañana,2022-05-12-tarde,2022-05-13-mañana,2022-05-13-tarde,2022-05-14-mañana,2022-05-14-tarde,2022-05-15-mañana,2022-05-15-tarde,2022-05-16-mañana,2022-05-16-tarde,2022-05-17-mañana,2022-05-17-tarde,2022-05-18-mañana,2022-05-18-tarde,2022-05-19-mañana,2022-05-19-tarde,2022-05-20-mañana,2022-05-20-tarde,2022-05-21-mañana,2022-05-21-tarde,2022-05-22-mañana,2022-05-22-tarde,2022-05-23-mañana,2022-05-23-tarde,2022-05-24-mañana,2022-05-24-tarde,2022-05-25-mañana,2022-05-25-tarde,2022-05-26-mañana,2022-05-26-tarde,2022-05-27-mañana,2022-05-27-tarde,2022-05-28-mañana,2022-05-28-tarde,2022-05-29-mañana,2022-05-29-tarde,2022-05-30-mañana,2022-05-30-tarde,2022-05-31-mañana,2022-05-31-tarde,objective_1,objective_2
0,person_11,DISP,-,M,-,COM,-,COM,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,COM,-,-,T1,-,T1,-,CHX,-,CHX,-,CHX,-,-,-,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,DISP,-,-,-,-,T1,3.0,11.3125
1,person_7,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,COM,-,COM,-,-,-,-,-,M,-,-,-,DISP,-,COM,-,M,-,-,-,M,-,M,-,-,-,COM,-,COM,-,M,-,M,-,-,-,-,-,M,-,-,-,COM,-,COM,-,3.0,11.3125
2,person_14,COM,-,COM,-,COM,-,M,-,-,-,M,-,-,-,COM,-,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,-,-,-,-,M,-,-,-,-,-,M,-,3.0,11.3125
3,person_12,M,-,-,CHX,-,CHX,-,T1,-,CHX,-,T2,-,-,-,-,COM,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,COM,-,COM,-,M,-,COM,-,-,-,M,-,M,-,COM,-,3.0,11.3125
4,person_2,M,-,COM,-,M,-,M,-,M,-,M,-,M,-,-,-,COM,-,COM,-,COM,-,M,-,M,-,M,-,-,-,-,T2,-,-,-,-,-,T1,-,CHX,-,-,-,-,M,-,M,-,-,-,COM,-,COM,-,DISP,-,-,-,DISP,-,-,-,3.0,11.3125
5,person_3,-,-,-,CHX,-,T2,-,CHX,-,-,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,M,-,-,-,COM,-,-,-,-,-,-,-,M,-,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T1,-,-,M,-,3.0,11.3125
6,person_1,-,-,-,-,COM,-,COM,-,-,-,-,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,COM,-,COM,-,M,-,M,-,-,-,-,-,COM,-,-,T1,-,T1,3.0,11.3125
7,person_6,-,-,-,-,COM,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,M,-,M,-,-,-,COM,-,DISP,-,-,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,T1,-,T1,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,T2,3.0,11.3125
8,person_8,-,-,M,-,-,-,M,-,-,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,-,-,COM,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,M,-,M,-,M,-,3.0,11.3125
9,person_10,-,T1,-,T1,-,CHX,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,CHX,-,-,-,CHX,-,T1,-,-,-,-,-,T1,-,T2,-,T2,-,-,-,T2,-,T1,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,T1,-,-,-,CHX,3.0,11.3125
