,Nurse,2023-12-01-mañana,2023-12-01-tarde,2023-12-02-mañana,2023-12-02-tarde,2023-12-03-mañana,2023-12-03-tarde,2023-12-04-mañana,2023-12-04-tarde,2023-12-05-mañana,2023-12-05-tarde,2023-12-06-mañana,2023-12-06-tarde,2023-12-07-mañana,2023-12-07-tarde,2023-12-08-mañana,2023-12-08-tarde,2023-12-09-mañana,2023-12-09-tarde,2023-12-10-mañana,2023-12-10-tarde,2023-12-11-mañana,2023-12-11-tarde,2023-12-12-mañana,2023-12-12-tarde,2023-12-13-mañana,2023-12-13-tarde,2023-12-14-mañana,2023-12-14-tarde,2023-12-15-mañana,2023-12-15-tarde,2023-12-16-mañana,2023-12-16-tarde,2023-12-17-mañana,2023-12-17-tarde,2023-12-18-mañana,2023-12-18-tarde,2023-12-19-mañana,2023-12-19-tarde,2023-12-20-mañana,2023-12-20-tarde,2023-12-21-mañana,2023-12-21-tarde,2023-12-22-mañana,2023-12-22-tarde,2023-12-23-mañana,2023-12-23-tarde,2023-12-24-mañana,2023-12-24-tarde,2023-12-25-mañana,2023-12-25-tarde,2023-12-26-mañana,2023-12-26-tarde,2023-12-27-mañana,2023-12-27-tarde,2023-12-28-mañana,2023-12-28-tarde,2023-12-29-mañana,2023-12-29-tarde,2023-12-30-mañana,2023-12-30-tarde,2023-12-31-mañana,2023-12-31-tarde,objective_1,objective_2
0,person_3,-,CHX,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,COM,-,M,-,-,-,-,T2,-,T1,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,T1,-,-,-,T1,18.0,9.5
1,person_9,M,-,-,-,M,-,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,M,-,COM,-,COM,-,-,-,M,-,-,-,M,-,-,T1,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,T2,-,CHX,-,T1,-,-,18.0,9.5
2,person_7,-,CHX,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,CHX,-,-,-,CHX,-,CHX,-,T1,-,T1,-,-,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,18.0,9.5
3,person_2,-,-,DISP,-,-,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,T2,-,-,-,T2,-,-,-,-,DISP,-,M,-,M,-,-,-,-,-,DISP,-,-,-,18.0,9.5
4,person_8,M,-,M,-,-,-,-,T2,-,T1,-,CHX,-,CHX,-,-,-,T1,-,-,-,T2,-,T1,-,T1,-,-,-,T2,-,T1,-,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,T1,-,T2,-,T1,-,T1,-,T2,-,-,-,-,18.0,9.5
5,person_1,-,CHX,-,T1,-,-,COM,-,M,-,-,-,COM,-,DISP,-,DISP,-,-,-,COM,-,-,-,-,-,COM,-,M,-,-,-,DISP,-,-,CHX,-,CHX,-,CHX,-,CHX,-,CHX,-,T1,-,-,M,-,-,-,M,-,-,-,COM,-,-,-,-,-,18.0,9.5
6,person_5,-,T1,-,-,-,T1,-,CHX,-,-,-,T2,-,CHX,-,T1,-,-,-,-,-,T1,-,T2,-,-,-,CHX,-,CHX,-,-,-,-,M,-,-,-,COM,-,M,-,COM,-,-,-,M,-,DISP,-,-,-,-,-,M,-,M,-,M,-,-,-,18.0,9.5
7,person_4,-,T2,-,-,-,-,-,T1,-,T2,-,-,-,T1,-,T1,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,T1,-,-,M,-,-,-,-,-,M,-,M,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,CHX,18.0,9.5
8,person_6,COM,-,-,-,DISP,-,M,-,M,-,COM,-,M,-,-,-,-,-,DISP,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,-,-,M,-,COM,-,M,-,COM,-,M,-,-,-,DISP,-,M,-,COM,-,COM,-,COM,-,-,-,-,-,M,-,18.0,9.5
9,person_3,COM,-,DISP,-,-,-,-,CHX,-,CHX,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,CHX,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,T1,-,T2,-,T2,-,CHX,-,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,T1,-,-,-,T1,20.0,9.1875
10,person_9,M,-,-,-,-,-,-,T1,-,T1,-,T2,-,CHX,-,-,-,T1,-,-,-,T1,-,CHX,-,T2,-,-,-,CHX,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,T2,-,CHX,-,T1,-,-,20.0,9.1875
11,person_7,-,CHX,-,T1,-,-,COM,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,M,-,-,-,M,-,COM,-,M,-,DISP,-,-,-,-,T1,-,-,-,-,-,T1,-,CHX,-,-,-,T1,-,T1,-,CHX,-,T1,-,CHX,-,T2,-,-,-,-,20.0,9.1875
12,person_2,-,-,-,-,M,-,M,-,M,-,COM,-,-,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,-,CHX,-,T2,-,T1,-,-,-,T2,-,-,-,-,DISP,-,M,-,M,-,-,-,-,-,-,-,DISP,-,20.0,9.1875
13,person_8,M,-,M,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,T1,-,-,-,CHX,-,T2,-,T1,-,T2,-,T2,-,-,-,-,COM,-,M,-,M,-,M,-,-,-,-,-,M,-,-,T1,-,T2,-,CHX,-,T1,-,CHX,-,T1,-,-,20.0,9.1875
14,person_1,-,CHX,-,-,-,-,COM,-,-,-,-,-,COM,-,M,-,DISP,-,-,-,-,CHX,-,-,-,-,-,CHX,-,CHX,-,T1,-,-,M,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,-,-,-,-,-,-,M,-,M,-,-,-,20.0,9.1875
15,person_5,-,T1,-,-,-,T1,-,T2,-,-,-,CHX,-,-,-,-,-,-,-,-,COM,-,M,-,-,-,M,-,COM,-,M,-,-,-,COM,-,-,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,COM,-,-,-,-,-,20.0,9.1875
