,Nurse,2022-01-01-mañana,2022-01-01-tarde,2022-01-02-mañana,2022-01-02-tarde,2022-01-03-mañana,2022-01-03-tarde,2022-01-04-mañana,2022-01-04-tarde,2022-01-05-mañana,2022-01-05-tarde,2022-01-06-mañana,2022-01-06-tarde,2022-01-07-mañana,2022-01-07-tarde,2022-01-08-mañana,2022-01-08-tarde,2022-01-09-mañana,2022-01-09-tarde,2022-01-10-mañana,2022-01-10-tarde,2022-01-11-mañana,2022-01-11-tarde,2022-01-12-mañana,2022-01-12-tarde,2022-01-13-mañana,2022-01-13-tarde,2022-01-14-mañana,2022-01-14-tarde,2022-01-15-mañana,2022-01-15-tarde,2022-01-16-mañana,2022-01-16-tarde,2022-01-17-mañana,2022-01-17-tarde,2022-01-18-mañana,2022-01-18-tarde,2022-01-19-mañana,2022-01-19-tarde,2022-01-20-mañana,2022-01-20-tarde,2022-01-21-mañana,2022-01-21-tarde,2022-01-22-mañana,2022-01-22-tarde,2022-01-23-mañana,2022-01-23-tarde,2022-01-24-mañana,2022-01-24-tarde,2022-01-25-mañana,2022-01-25-tarde,2022-01-26-mañana,2022-01-26-tarde,2022-01-27-mañana,2022-01-27-tarde,2022-01-28-mañana,2022-01-28-tarde,2022-01-29-mañana,2022-01-29-tarde,2022-01-30-mañana,2022-01-30-tarde,2022-01-31-mañana,2022-01-31-tarde,objective_1,objective_2
0,person_4,DISP,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,COM,-,-,-,M,-,M,-,-,-,DISP,-,-,T1,-,T2,-,T1,-,T1,-,T2,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,CHX,-,-,-,-,-,T1,7.0,9.3125
1,person_9,-,-,DISP,-,-,T1,-,CHX,-,-,-,T2,-,T2,-,T1,-,-,M,-,M,-,M,-,M,-,COM,-,DISP,-,-,-,-,T1,-,CHX,-,-,-,T2,-,CHX,-,-,-,-,-,T1,-,T2,-,T2,-,-,-,T2,-,-,-,-,M,-,7.0,9.3125
2,person_7,-,-,-,-,COM,-,COM,-,M,-,-,-,M,-,-,-,DISP,-,-,-,-,T2,-,-,-,-,-,T2,-,-,-,T1,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,-,T2,7.0,9.3125
3,person_2,-,-,-,-,-,CHX,-,T2,-,CHX,-,CHX,-,T2,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,-,-,M,-,-,CHX,-,T2,-,T2,-,CHX,-,T2,-,-,-,-,COM,-,COM,-,COM,-,COM,-,COM,-,-,-,DISP,-,COM,-,7.0,9.3125
4,person_1,-,T1,-,-,M,-,COM,-,COM,-,COM,-,COM,-,-,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,-,-,T1,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,T1,-,T1,-,-,-,-,-,T1,-,T1,7.0,9.3125
5,person_6,-,-,-,-,M,-,M,-,-,-,M,-,M,-,DISP,-,-,-,DISP,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,-,CHX,7.0,9.3125
6,person_5,M,-,-,-,-,T2,-,-,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,-,-,-,-,-,-,CHX,-,-,-,-,COM,-,M,-,M,-,M,-,COM,-,-,-,M,-,-,CHX,-,CHX,-,-,-,CHX,-,T1,-,T1,-,-,M,-,7.0,9.3125
7,person_8,-,-,M,-,M,-,M,-,M,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,T2,-,T1,-,CHX,-,-,-,-,M,-,COM,-,COM,-,-,-,M,-,DISP,-,-,-,-,T1,-,T1,-,CHX,-,T2,-,CHX,-,-,-,-,-,CHX,7.0,9.3125
8,person_3,-,-,-,T1,-,-,-,T1,-,T2,-,T1,-,CHX,-,-,-,-,-,-,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,T1,7.0,9.3125
9,person_4,DISP,-,-,-,-,T1,-,T1,-,T1,-,T1,-,T1,-,-,-,-,DISP,-,COM,-,-,-,M,-,M,-,DISP,-,-,-,-,T1,-,T2,-,T1,-,T1,-,T2,-,T1,-,-,M,-,M,-,-,-,-,-,COM,-,-,-,DISP,-,-,T1,9.0,8.625000000000002
