,Nurse,2023-02-01-mañana,2023-02-01-tarde,2023-02-02-mañana,2023-02-02-tarde,2023-02-03-mañana,2023-02-03-tarde,2023-02-04-mañana,2023-02-04-tarde,2023-02-05-mañana,2023-02-05-tarde,2023-02-06-mañana,2023-02-06-tarde,2023-02-07-mañana,2023-02-07-tarde,2023-02-08-mañana,2023-02-08-tarde,2023-02-09-mañana,2023-02-09-tarde,2023-02-10-mañana,2023-02-10-tarde,2023-02-11-mañana,2023-02-11-tarde,2023-02-12-mañana,2023-02-12-tarde,2023-02-13-mañana,2023-02-13-tarde,2023-02-14-mañana,2023-02-14-tarde,2023-02-15-mañana,2023-02-15-tarde,2023-02-16-mañana,2023-02-16-tarde,2023-02-17-mañana,2023-02-17-tarde,2023-02-18-mañana,2023-02-18-tarde,2023-02-19-mañana,2023-02-19-tarde,2023-02-20-mañana,2023-02-20-tarde,2023-02-21-mañana,2023-02-21-tarde,2023-02-22-mañana,2023-02-22-tarde,2023-02-23-mañana,2023-02-23-tarde,2023-02-24-mañana,2023-02-24-tarde,2023-02-25-mañana,2023-02-25-tarde,2023-02-26-mañana,2023-02-26-tarde,2023-02-27-mañana,2023-02-27-tarde,2023-02-28-mañana,2023-02-28-tarde,objective_1,objective_2
0,person_9,-,-,-,-,M,-,M,-,-,-,-,-,M,-,COM,-,M,-,-,-,DISP,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,-,M,-,0.0,23.4375
1,person_4,-,-,-,T2,-,T2,-,T1,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,-,T1,-,-,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,23.4375
2,person_10,M,-,-,-,-,-,DISP,-,-,-,COM,-,COM,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,CHX,-,T2,-,T1,-,CHX,-,-,-,-,COM,-,COM,-,COM,-,COM,-,COM,-,DISP,-,-,-,-,-,-,CHX,0.0,23.4375
3,person_7,M,-,M,-,-,-,-,-,DISP,-,-,-,-,T1,-,CHX,-,T2,-,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,COM,-,0.0,23.4375
4,person_1,-,T1,-,CHX,-,CHX,-,-,-,T1,-,-,-,T2,-,T1,-,T1,-,T2,-,-,-,-,-,-,M,-,COM,-,COM,-,COM,-,-,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T2,-,T1,-,-,M,-,-,-,0.0,23.4375
5,person_5,-,-,COM,-,-,-,-,-,-,-,-,CHX,-,-,-,-,-,-,-,T1,-,-,-,T1,-,T2,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,CHX,-,-,-,-,-,T2,-,T1,-,-,-,T2,-,CHX,-,-,0.0,23.4375
6,person_8,COM,-,M,-,COM,-,-,-,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,23.4375
7,person_2,-,T2,-,-,-,T1,-,-,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,COM,-,-,-,-,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,M,-,0.0,23.4375
8,person_3,-,-,-,-,M,-,-,-,-,-,-,T2,-,CHX,-,T2,-,-,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,-,CHX,-,-,-,T1,-,T2,-,T1,0.0,23.4375
9,person_6,-,CHX,-,T1,-,-,-,-,-,-,M,-,-,-,M,-,-,-,M,-,-,-,DISP,-,COM,-,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,-,T1,-,T2,0.0,23.4375
0,person_9,-,CHX,-,T2,-,T2,-,-,-,-,-,-,-,-,M,-,COM,-,-,-,M,-,-,-,COM,-,-,-,COM,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,COM,-,2.0,22.4375
1,person_4,-,-,-,CHX,-,T2,-,T1,-,-,-,CHX,-,T2,-,-,-,T2,-,T1,-,T1,-,-,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,22.4375
2,person_10,COM,-,M,-,COM,-,DISP,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,-,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,T1,-,-,-,CHX,-,T2,-,-,-,-,-,-,-,T1,2.0,22.4375
3,person_7,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,T1,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,M,-,M,-,2.0,22.4375
4,person_1,-,T2,-,CHX,-,T2,-,-,-,T1,-,-,-,T1,-,CHX,-,CHX,-,T2,-,-,-,-,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,-,-,T1,-,CHX,-,T2,-,T1,-,T1,-,T1,-,-,COM,-,-,-,2.0,22.4375
5,person_5,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,CHX,-,T1,-,-,-,-,-,T2,-,-,-,-,-,T2,-,-,-,CHX,-,T2,-,CHX,-,-,-,T1,-,T2,-,-,2.0,22.4375
6,person_8,M,-,COM,-,M,-,-,-,DISP,-,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,22.4375
7,person_2,M,-,-,-,-,-,-,-,-,-,M,-,COM,-,-,-,-,-,M,-,-,-,DISP,-,M,-,M,-,-,-,-,-,COM,-,DISP,-,-,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,T1,-,T2,2.0,22.4375
8,person_3,-,T1,-,-,-,CHX,-,-,-,T1,-,T1,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,2.0,22.4375
9,person_6,COM,-,-,-,-,-,-,-,M,-,-,T2,-,CHX,-,T2,-,-,-,CHX,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,COM,-,-,-,M,-,-,-,-,-,-,-,DISP,-,M,-,M,-,2.0,22.4375
