,Nurse,2023-08-01-mañana,2023-08-01-tarde,2023-08-02-mañana,2023-08-02-tarde,2023-08-03-mañana,2023-08-03-tarde,2023-08-04-mañana,2023-08-04-tarde,2023-08-05-mañana,2023-08-05-tarde,2023-08-06-mañana,2023-08-06-tarde,2023-08-07-mañana,2023-08-07-tarde,2023-08-08-mañana,2023-08-08-tarde,2023-08-09-mañana,2023-08-09-tarde,2023-08-10-mañana,2023-08-10-tarde,2023-08-11-mañana,2023-08-11-tarde,2023-08-12-mañana,2023-08-12-tarde,2023-08-13-mañana,2023-08-13-tarde,2023-08-14-mañana,2023-08-14-tarde,2023-08-15-mañana,2023-08-15-tarde,2023-08-16-mañana,2023-08-16-tarde,2023-08-17-mañana,2023-08-17-tarde,2023-08-18-mañana,2023-08-18-tarde,2023-08-19-mañana,2023-08-19-tarde,2023-08-20-mañana,2023-08-20-tarde,2023-08-21-mañana,2023-08-21-tarde,2023-08-22-mañana,2023-08-22-tarde,2023-08-23-mañana,2023-08-23-tarde,2023-08-24-mañana,2023-08-24-tarde,2023-08-25-mañana,2023-08-25-tarde,2023-08-26-mañana,2023-08-26-tarde,2023-08-27-mañana,2023-08-27-tarde,2023-08-28-mañana,2023-08-28-tarde,2023-08-29-mañana,2023-08-29-tarde,2023-08-30-mañana,2023-08-30-tarde,2023-08-31-mañana,2023-08-31-tarde,objective_1,objective_2
0,person_4,-,-,COM,-,COM,-,M,-,M,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,DISP,-,-,-,-,-,COM,-,M,-,-,-,-,-,-,-,-,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,-,-,-,-,T2,-,T2,4.0,11.5
1,person_6,M,-,-,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,DISP,-,M,-,M,-,COM,-,-,-,-,-,DISP,-,-,-,-,-,-,T2,-,T1,4.0,11.5
2,person_7,-,-,-,T2,-,T1,-,-,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,T1,-,-,-,T1,-,T2,-,-,-,T2,-,T2,-,CHX,-,-,-,-,-,-,-,T2,-,T2,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,-,4.0,11.5
3,person_11,-,-,-,T1,-,-,-,CHX,-,T1,-,-,DISP,-,-,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,4.0,11.5
4,person_5,-,T2,-,-,-,T2,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,DISP,-,-,-,-,CHX,-,T1,-,CHX,-,CHX,-,-,-,-,-,T1,-,T1,-,T1,-,T1,-,T1,-,T1,-,-,-,-,M,-,M,-,-,-,-,-,4.0,11.5
5,person_3,-,-,-,-,-,CHX,-,-,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,-,-,T1,-,-,-,-,-,T2,-,T1,-,T2,-,-,-,T1,-,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,4.0,11.5
6,person_9,M,-,M,-,-,-,M,-,-,-,-,-,-,-,-,T2,-,CHX,-,-,-,-,-,T1,-,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,4.0,11.5
7,person_2,COM,-,-,-,M,-,COM,-,-,-,DISP,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,COM,-,-,-,-,-,COM,-,COM,-,DISP,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,-,-,-,T2,-,-,-,-,-,CHX,4.0,11.5
8,person_1,-,T1,-,-,-,T2,-,T1,-,-,-,-,M,-,M,-,-,-,-,-,COM,-,-,-,M,-,-,-,-,T2,-,-,-,T2,-,-,-,T1,-,-,M,-,M,-,COM,-,-,-,COM,-,DISP,-,-,-,-,CHX,-,T1,-,-,-,CHX,4.0,11.5
9,person_10,-,CHX,-,CHX,-,-,-,T2,-,-,-,-,-,T1,-,CHX,-,-,-,CHX,-,T2,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,-,-,T2,-,CHX,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T1,4.0,11.5
10,person_8,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,COM,-,COM,-,M,-,-,-,-,-,M,-,-,-,-,-,-,-,-,-,DISP,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,4.0,11.5
11,person_4,-,-,COM,-,COM,-,M,-,-,-,M,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,M,-,COM,-,-,-,COM,-,M,-,COM,-,M,-,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,T2,6.0,10.5
12,person_6,M,-,M,-,M,-,COM,-,DISP,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,DISP,-,-,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,-,CHX,-,-,-,T2,-,-,6.0,10.5
13,person_7,-,-,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,T1,-,T1,-,-,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,T2,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,-,6.0,10.5
14,person_11,-,-,-,T1,-,CHX,-,CHX,-,T1,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,DISP,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,6.0,10.5
15,person_5,-,T1,-,T1,-,-,-,T1,-,-,-,T1,-,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,-,CHX,-,T1,-,T2,-,T2,-,-,-,-,-,T1,-,T1,-,T2,-,T1,-,T1,-,CHX,-,-,-,-,M,-,COM,-,M,-,M,-,6.0,10.5
16,person_3,-,T2,-,-,-,CHX,-,T2,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,DISP,-,-,T1,-,T2,-,T2,-,T1,-,T1,-,-,-,T1,-,-,COM,-,M,-,COM,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,6.0,10.5
17,person_9,M,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,T2,-,T2,-,T1,-,-,-,T1,-,-,-,T1,-,CHX,-,T2,-,CHX,-,T2,-,-,-,T1,-,-,-,T2,-,CHX,-,T2,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,6.0,10.5
18,person_2,COM,-,-,-,M,-,COM,-,-,-,DISP,-,-,T1,-,-,-,T1,-,T2,-,CHX,-,-,-,-,COM,-,COM,-,-,-,COM,-,COM,-,DISP,-,-,-,M,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,T2,-,-,-,-,-,T1,6.0,10.5
19,person_1,-,T1,-,-,-,T2,-,T1,-,-,-,T1,-,T1,-,CHX,-,CHX,-,-,-,T2,-,-,-,-,-,-,-,T2,-,-,-,T2,-,CHX,-,-,-,-,M,-,M,-,M,-,-,-,M,-,DISP,-,-,-,-,CHX,-,T1,-,-,-,CHX,6.0,10.5
20,person_10,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,CHX,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,-,-,T2,-,T2,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T1,6.0,10.5
21,person_8,-,-,-,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,COM,-,M,-,DISP,-,-,-,-,T2,-,CHX,-,CHX,-,-,-,T2,-,-,-,-,M,-,M,-,-,-,-,-,COM,-,M,-,-,-,M,-,M,-,M,-,M,-,6.0,10.5
22,person_4,-,-,COM,-,COM,-,M,-,M,-,-,-,-,-,COM,-,COM,-,-,-,COM,-,-,-,DISP,-,-,-,-,-,COM,-,M,-,COM,-,M,-,-,-,-,-,-,T1,-,T2,-,-,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,T2,7.0,10.5
23,person_6,M,-,M,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,DISP,-,DISP,-,-,-,-,-,-,-,M,-,-,-,DISP,-,-,-,-,-,-,T2,-,-,7.0,10.5
24,person_7,-,-,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,T1,-,-,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,T2,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,-,7.0,10.5
25,person_11,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,7.0,10.5
26,person_5,-,-,-,-,-,T2,-,T1,-,-,-,-,DISP,-,-,-,COM,-,-,-,-,-,DISP,-,-,-,-,CHX,-,T1,-,T2,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,T1,-,CHX,-,-,-,-,M,-,M,-,-,-,-,-,7.0,10.5
27,person_3,-,-,-,-,-,CHX,-,T2,-,-,-,T1,-,-,COM,-,-,-,-,-,-,-,-,-,M,-,-,T1,-,-,-,T2,-,T1,-,T1,-,-,-,T1,-,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,7.0,10.5
28,person_9,M,-,M,-,COM,-,M,-,-,-,M,-,-,-,-,T2,-,-,-,T1,-,-,-,T1,-,-,-,T1,-,CHX,-,T2,-,CHX,-,-,-,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,7.0,10.5
