,Nurse,2023-05-01-mañana,2023-05-01-tarde,2023-05-02-mañana,2023-05-02-tarde,2023-05-03-mañana,2023-05-03-tarde,2023-05-04-mañana,2023-05-04-tarde,2023-05-05-mañana,2023-05-05-tarde,2023-05-06-mañana,2023-05-06-tarde,2023-05-07-mañana,2023-05-07-tarde,2023-05-08-mañana,2023-05-08-tarde,2023-05-09-mañana,2023-05-09-tarde,2023-05-10-mañana,2023-05-10-tarde,2023-05-11-mañana,2023-05-11-tarde,2023-05-12-mañana,2023-05-12-tarde,2023-05-13-mañana,2023-05-13-tarde,2023-05-14-mañana,2023-05-14-tarde,2023-05-15-mañana,2023-05-15-tarde,2023-05-16-mañana,2023-05-16-tarde,2023-05-17-mañana,2023-05-17-tarde,2023-05-18-mañana,2023-05-18-tarde,2023-05-19-mañana,2023-05-19-tarde,2023-05-20-mañana,2023-05-20-tarde,2023-05-21-mañana,2023-05-21-tarde,2023-05-22-mañana,2023-05-22-tarde,2023-05-23-mañana,2023-05-23-tarde,2023-05-24-mañana,2023-05-24-tarde,2023-05-25-mañana,2023-05-25-tarde,2023-05-26-mañana,2023-05-26-tarde,2023-05-27-mañana,2023-05-27-tarde,2023-05-28-mañana,2023-05-28-tarde,2023-05-29-mañana,2023-05-29-tarde,2023-05-30-mañana,2023-05-30-tarde,2023-05-31-mañana,2023-05-31-tarde,objective_1,objective_2
0,person_3,M,-,M,-,-,-,COM,-,COM,-,-,-,-,-,-,T2,-,-,-,T2,-,T2,-,T1,-,T1,-,-,M,-,M,-,-,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,-,COM,-,M,-,-,-,DISP,-,-,CHX,-,-,-,T1,2.0,11.5
1,person_5,-,T1,-,T2,-,T2,-,CHX,-,T2,-,T1,-,-,-,-,-,CHX,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,T1,-,T2,-,-,-,-,COM,-,M,-,COM,-,2.0,11.5
2,person_9,M,-,M,-,COM,-,-,-,-,-,-,-,DISP,-,M,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,M,-,-,-,-,T1,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,-,M,-,COM,-,2.0,11.5
3,person_4,-,-,-,-,-,-,COM,-,-,-,-,-,M,-,-,CHX,-,T2,-,-,-,-,-,T2,-,-,-,-,COM,-,M,-,M,-,-,-,-,-,-,-,DISP,-,DISP,-,M,-,M,-,M,-,COM,-,M,-,-,-,M,-,COM,-,M,-,2.0,11.5
4,person_2,-,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,M,-,-,CHX,-,T2,-,CHX,2.0,11.5
5,person_8,-,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,-,-,-,-,M,-,M,-,M,-,2.0,11.5
6,person_7,-,-,-,T1,-,T1,-,T2,-,CHX,-,-,-,T1,-,-,-,-,M,-,COM,-,-,-,-,-,-,-,-,T2,-,CHX,-,T2,-,-,-,T2,-,-,-,-,M,-,-,-,COM,-,M,-,-,-,-,-,-,-,-,-,-,CHX,-,T1,2.0,11.5
7,person_10,DISP,-,COM,-,COM,-,-,-,-,-,M,-,-,-,COM,-,COM,-,COM,-,M,-,COM,-,DISP,-,-,-,COM,-,COM,-,M,-,-,-,COM,-,-,-,-,-,DISP,-,COM,-,COM,-,COM,-,-,-,DISP,-,-,-,-,T1,-,T1,-,T1,2.0,11.5
8,person_6,-,-,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,-,T1,-,T1,-,CHX,-,-,-,CHX,-,-,-,-,-,T1,-,T1,-,T1,-,T2,-,-,-,-,-,T1,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,-,T2,-,T1,-,T2,2.0,11.5
9,person_1,M,-,M,-,-,-,M,-,M,-,-,-,-,-,-,T2,-,-,-,T2,-,T1,-,CHX,-,-,-,T1,-,CHX,-,T2,-,-,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,CHX,-,T1,-,CHX,2.0,11.5
