,Nurse,2022-02-01-mañana,2022-02-01-tarde,2022-02-02-mañana,2022-02-02-tarde,2022-02-03-mañana,2022-02-03-tarde,2022-02-04-mañana,2022-02-04-tarde,2022-02-05-mañana,2022-02-05-tarde,2022-02-06-mañana,2022-02-06-tarde,2022-02-07-mañana,2022-02-07-tarde,2022-02-08-mañana,2022-02-08-tarde,2022-02-09-mañana,2022-02-09-tarde,2022-02-10-mañana,2022-02-10-tarde,2022-02-11-mañana,2022-02-11-tarde,2022-02-12-mañana,2022-02-12-tarde,2022-02-13-mañana,2022-02-13-tarde,2022-02-14-mañana,2022-02-14-tarde,2022-02-15-mañana,2022-02-15-tarde,2022-02-16-mañana,2022-02-16-tarde,2022-02-17-mañana,2022-02-17-tarde,2022-02-18-mañana,2022-02-18-tarde,2022-02-19-mañana,2022-02-19-tarde,2022-02-20-mañana,2022-02-20-tarde,2022-02-21-mañana,2022-02-21-tarde,2022-02-22-mañana,2022-02-22-tarde,2022-02-23-mañana,2022-02-23-tarde,2022-02-24-mañana,2022-02-24-tarde,2022-02-25-mañana,2022-02-25-tarde,2022-02-26-mañana,2022-02-26-tarde,2022-02-27-mañana,2022-02-27-tarde,2022-02-28-mañana,2022-02-28-tarde,objective_1,objective_2
0,person_7,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,M,-,-,-,COM,-,COM,-,-,-,-,-,M,-,M,-,-,-,-,T1,7.0,15.625
1,person_6,M,-,COM,-,M,-,M,-,-,-,-,-,-,T2,-,-,-,T2,-,T2,-,T2,-,-,-,T1,-,-,M,-,M,-,M,-,COM,-,-,-,DISP,-,-,-,-,-,M,-,M,-,COM,-,-,-,DISP,-,-,-,7.0,15.625
2,person_8,-,-,-,-,-,-,-,-,-,-,M,-,-,-,-,CHX,-,-,-,CHX,-,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,-,T1,-,T2,-,T2,-,CHX,-,CHX,-,T1,-,-,M,-,7.0,15.625
3,person_1,M,-,M,-,COM,-,COM,-,M,-,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,M,-,-,T2,-,-,-,T1,-,T2,-,T2,-,-,-,-,-,-,7.0,15.625
4,person_5,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,-,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,COM,-,COM,-,COM,-,M,-,DISP,-,-,-,-,-,-,-,-,CHX,-,T1,-,T1,-,-,-,-,-,-,7.0,15.625
5,person_3,-,CHX,-,T2,-,T1,-,T1,-,T1,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,7.0,15.625
6,person_9,-,T2,-,CHX,-,T2,-,CHX,-,-,-,T1,-,T1,-,T2,-,CHX,-,T1,-,CHX,-,T1,-,-,-,T1,-,T2,-,T2,-,T1,-,CHX,-,-,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,-,COM,-,7.0,15.625
7,person_2,-,-,-,-,COM,-,-,-,-,-,DISP,-,COM,-,COM,-,COM,-,COM,-,M,-,-,-,DISP,-,COM,-,COM,-,-,-,COM,-,-,-,-,-,-,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,-,CHX,7.0,15.625
8,person_4,-,T1,-,T1,-,CHX,-,T2,-,-,-,-,-,CHX,-,T1,-,T1,-,T2,-,T1,-,-,-,-,-,CHX,-,T1,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,-,T2,7.0,15.625
9,person_7,M,-,-,-,-,-,COM,-,-,-,DISP,-,-,-,-,T1,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,T1,-,T1,-,-,-,T2,-,-,-,T1,-,CHX,-,CHX,-,-,-,-,-,T2,-,-,-,T1,-,T1,9.0,14.0625
