,Nurse,2022-03-01-mañana,2022-03-01-tarde,2022-03-02-mañana,2022-03-02-tarde,2022-03-03-mañana,2022-03-03-tarde,2022-03-04-mañana,2022-03-04-tarde,2022-03-05-mañana,2022-03-05-tarde,2022-03-06-mañana,2022-03-06-tarde,2022-03-07-mañana,2022-03-07-tarde,2022-03-08-mañana,2022-03-08-tarde,2022-03-09-mañana,2022-03-09-tarde,2022-03-10-mañana,2022-03-10-tarde,2022-03-11-mañana,2022-03-11-tarde,2022-03-12-mañana,2022-03-12-tarde,2022-03-13-mañana,2022-03-13-tarde,2022-03-14-mañana,2022-03-14-tarde,2022-03-15-mañana,2022-03-15-tarde,2022-03-16-mañana,2022-03-16-tarde,2022-03-17-mañana,2022-03-17-tarde,2022-03-18-mañana,2022-03-18-tarde,2022-03-19-mañana,2022-03-19-tarde,2022-03-20-mañana,2022-03-20-tarde,2022-03-21-mañana,2022-03-21-tarde,2022-03-22-mañana,2022-03-22-tarde,2022-03-23-mañana,2022-03-23-tarde,2022-03-24-mañana,2022-03-24-tarde,2022-03-25-mañana,2022-03-25-tarde,2022-03-26-mañana,2022-03-26-tarde,2022-03-27-mañana,2022-03-27-tarde,2022-03-28-mañana,2022-03-28-tarde,2022-03-29-mañana,2022-03-29-tarde,2022-03-30-mañana,2022-03-30-tarde,2022-03-31-mañana,2022-03-31-tarde,objective_1,objective_2
0,person_9,M,-,COM,-,-,-,M,-,-,-,DISP,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,COM,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,COM,-,M,-,0.0,12.625
1,person_3,M,-,-,-,M,-,-,-,DISP,-,-,-,COM,-,M,-,COM,-,-,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,COM,-,-,-,M,-,-,T1,-,CHX,-,CHX,-,T2,-,T2,-,-,-,-,-,T2,-,T2,-,-,-,T2,0.0,12.625
2,person_6,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,-,-,-,-,T2,-,T1,-,-,-,-,-,-,COM,-,-,-,M,-,COM,-,-,-,DISP,-,-,-,-,-,M,-,COM,-,-,-,COM,-,DISP,-,-,-,-,-,-,-,-,T1,-,T1,0.0,12.625
3,person_5,COM,-,M,-,COM,-,M,-,M,-,-,-,-,CHX,-,-,-,T1,-,CHX,-,T2,-,-,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,COM,-,M,-,COM,-,0.0,12.625
4,person_7,-,-,M,-,-,-,COM,-,-,-,M,-,-,-,M,-,M,-,M,-,COM,-,DISP,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,T2,-,T1,-,-,-,-,-,-,-,-,-,T1,-,CHX,-,CHX,-,-,0.0,12.625
5,person_4,-,-,-,-,M,-,-,-,-,-,-,-,-,-,-,CHX,-,-,-,-,-,CHX,-,-,-,-,-,T2,-,T2,-,T1,-,CHX,-,T2,-,-,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,-,-,T1,-,-,-,T1,-,CHX,-,-,0.0,12.625
6,person_8,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,T2,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,-,-,-,-,T1,-,T1,-,T2,-,T1,-,T1,-,T1,-,-,M,-,M,-,M,-,-,-,0.0,12.625
7,person_2,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,M,-,COM,-,M,-,COM,-,-,-,-,-,DISP,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,DISP,-,-,CHX,-,-,-,T2,-,CHX,0.0,12.625
8,person_1,-,T2,-,-,-,-,-,CHX,-,-,-,T1,-,T2,-,T2,-,-,-,-,-,T1,-,-,-,T1,-,-,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,DISP,-,M,-,M,-,-,-,M,-,-,-,-,-,COM,-,-,-,-,-,M,-,0.0,12.625
9,person_9,M,-,M,-,-,-,M,-,-,-,M,-,COM,-,-,-,COM,-,M,-,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,COM,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,2.0,10.625
