,Nurse,2023-02-01-mañana,2023-02-01-tarde,2023-02-02-mañana,2023-02-02-tarde,2023-02-03-mañana,2023-02-03-tarde,2023-02-04-mañana,2023-02-04-tarde,2023-02-05-mañana,2023-02-05-tarde,2023-02-06-mañana,2023-02-06-tarde,2023-02-07-mañana,2023-02-07-tarde,2023-02-08-mañana,2023-02-08-tarde,2023-02-09-mañana,2023-02-09-tarde,2023-02-10-mañana,2023-02-10-tarde,2023-02-11-mañana,2023-02-11-tarde,2023-02-12-mañana,2023-02-12-tarde,2023-02-13-mañana,2023-02-13-tarde,2023-02-14-mañana,2023-02-14-tarde,2023-02-15-mañana,2023-02-15-tarde,2023-02-16-mañana,2023-02-16-tarde,2023-02-17-mañana,2023-02-17-tarde,2023-02-18-mañana,2023-02-18-tarde,2023-02-19-mañana,2023-02-19-tarde,2023-02-20-mañana,2023-02-20-tarde,2023-02-21-mañana,2023-02-21-tarde,2023-02-22-mañana,2023-02-22-tarde,2023-02-23-mañana,2023-02-23-tarde,2023-02-24-mañana,2023-02-24-tarde,2023-02-25-mañana,2023-02-25-tarde,2023-02-26-mañana,2023-02-26-tarde,2023-02-27-mañana,2023-02-27-tarde,2023-02-28-mañana,2023-02-28-tarde,objective_1,objective_2
0,person_1,COM,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,COM,-,M,-,DISP,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,-,-,M,-,-,T2,-,-,-,-,-,T1,-,T1,-,-,-,-,COM,-,-,-,7.0,14.625000000000004
1,person_2,M,-,M,-,M,-,DISP,-,-,-,-,T2,-,T2,-,T1,-,T2,-,T1,-,-,-,T1,-,-,-,CHX,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,-,-,-,T2,7.0,14.625000000000004
2,person_6,-,-,-,T2,-,T2,-,-,-,-,M,-,M,-,COM,-,COM,-,M,-,M,-,-,-,-,-,COM,-,M,-,-,-,M,-,DISP,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,7.0,14.625000000000004
3,person_4,M,-,COM,-,M,-,M,-,-,-,-,T1,-,CHX,-,-,-,CHX,-,T2,-,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,DISP,-,M,-,COM,-,-,-,COM,-,COM,-,-,-,M,-,-,T2,-,-,7.0,14.625000000000004
4,person_8,-,CHX,-,CHX,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,COM,-,7.0,14.625000000000004
5,person_5,-,-,M,-,-,-,-,-,DISP,-,COM,-,COM,-,M,-,M,-,COM,-,-,-,DISP,-,-,T2,-,T1,-,T2,-,T2,-,T1,-,-,-,-,-,-,COM,-,COM,-,-,-,-,-,DISP,-,-,-,M,-,M,-,7.0,14.625000000000004
6,person_7,-,T2,-,-,-,CHX,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,CHX,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,T1,-,CHX,-,T1,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,7.0,14.625000000000004
7,person_3,-,T1,-,T1,-,-,-,-,-,T1,-,CHX,-,T1,-,CHX,-,-,-,CHX,-,T1,-,-,-,T1,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,CHX,-,T2,-,T2,-,-,-,CHX,-,-,-,T1,-,CHX,-,CHX,7.0,14.625000000000004
8,person_1,COM,-,COM,-,COM,-,-,-,M,-,M,-,COM,-,-,-,COM,-,M,-,-,-,M,-,-,T2,-,CHX,-,T2,-,T2,-,CHX,-,-,-,-,COM,-,-,-,M,-,COM,-,M,-,-,-,M,-,COM,-,-,-,9.0,14.0625
9,person_2,-,-,-,CHX,-,-,-,-,-,-,-,T2,-,T2,-,T1,-,T2,-,T1,-,-,-,T1,-,T1,-,T1,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,T1,-,T2,-,T2,9.0,14.0625
10,person_6,-,-,-,-,-,-,M,-,-,-,M,-,M,-,COM,-,COM,-,M,-,DISP,-,-,-,-,-,COM,-,COM,-,M,-,M,-,M,-,-,-,-,T2,-,-,-,-,-,T1,-,T1,-,-,-,-,-,-,-,T1,9.0,14.0625
11,person_4,M,-,M,-,M,-,-,-,DISP,-,-,T1,-,CHX,-,-,-,CHX,-,T2,-,-,-,-,COM,-,-,-,M,-,M,-,COM,-,DISP,-,-,-,M,-,COM,-,-,-,COM,-,COM,-,M,-,-,-,-,CHX,-,-,9.0,14.0625
12,person_8,M,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,T2,-,T1,-,T1,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,M,-,9.0,14.0625
13,person_5,-,T2,-,T1,-,T1,-,-,-,-,COM,-,COM,-,M,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,-,M,-,COM,-,M,-,-,-,-,-,DISP,-,M,-,M,-,9.0,14.0625
14,person_7,-,CHX,-,-,-,CHX,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,CHX,-,-,-,-,-,-,-,T2,-,-,-,T1,-,T1,-,CHX,-,T1,-,CHX,-,-,-,T1,-,-,-,T1,-,CHX,9.0,14.0625
15,person_3,-,T1,-,T2,-,T2,-,-,-,T1,-,CHX,-,T1,-,CHX,-,-,-,CHX,-,T1,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,M,-,-,CHX,-,T2,-,T2,-,-,-,CHX,-,-,-,-,M,-,COM,-,9.0,14.0625
16,person_1,-,CHX,-,CHX,-,T1,-,-,-,-,COM,-,COM,-,-,-,COM,-,COM,-,M,-,-,-,M,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,DISP,-,COM,-,-,-,10.0,13.624999999999998
17,person_2,-,T2,-,T1,-,T1,-,T1,-,-,-,T2,-,T1,-,T1,-,T1,-,T2,-,T1,-,-,-,-,-,CHX,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,T1,-,T1,-,T2,-,T2,-,-,-,-,-,T2,-,T2,10.0,13.624999999999998
18,person_6,-,-,M,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,-,CHX,-,T2,-,T1,-,CHX,-,CHX,-,-,-,-,COM,-,COM,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,10.0,13.624999999999998
19,person_4,M,-,M,-,COM,-,-,-,M,-,-,T1,-,CHX,-,-,-,T2,-,CHX,-,-,-,-,M,-,-,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,M,-,-,-,10.0,13.624999999999998
20,person_8,-,T1,-,T2,-,CHX,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,-,-,M,-,COM,-,DISP,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,M,-,10.0,13.624999999999998
21,person_5,COM,-,M,-,M,-,M,-,-,-,COM,-,COM,-,M,-,COM,-,COM,-,-,-,M,-,-,T2,-,T1,-,-,-,T2,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,M,-,COM,-,10.0,13.624999999999998
22,person_7,-,-,-,-,-,T2,-,-,-,T1,-,CHX,-,T2,-,T2,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,T2,-,-,-,T1,-,-,-,T1,-,T2,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,CHX,10.0,13.624999999999998
23,person_3,M,-,COM,-,-,-,-,-,DISP,-,-,T1,-,T1,-,CHX,-,-,-,T1,-,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,CHX,-,T1,-,T1,-,-,-,CHX,-,-,-,T1,-,CHX,-,T1,10.0,13.624999999999998
24,person_1,COM,-,COM,-,COM,-,-,-,M,-,-,T2,-,T2,-,-,-,CHX,-,T2,-,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,-,-,M,-,M,-,-,-,COM,-,M,-,COM,-,-,-,M,-,COM,-,COM,-,11.0,13.5
25,person_2,M,-,M,-,-,-,DISP,-,-,-,-,T1,-,-,-,T1,-,T2,-,T1,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,-,T2,-,CHX,11.0,13.5
26,person_6,-,-,-,CHX,-,T2,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,-,-,COM,-,-,-,M,-,M,-,DISP,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,T1,11.0,13.5
27,person_4,M,-,COM,-,M,-,-,-,DISP,-,M,-,COM,-,-,-,M,-,COM,-,-,-,M,-,-,T1,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,M,-,COM,-,-,-,COM,-,COM,-,DISP,-,-,-,M,-,-,-,11.0,13.5
28,person_8,COM,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,-,-,-,M,-,11.0,13.5
29,person_5,-,T2,-,T1,-,T1,-,-,-,-,COM,-,COM,-,M,-,COM,-,COM,-,DISP,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,11.0,13.5
30,person_7,-,CHX,-,-,-,CHX,-,-,-,T1,-,T2,-,T1,-,T2,-,T1,-,-,-,T1,-,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,T1,-,-,-,T1,-,T2,11.0,13.5
31,person_3,-,T1,-,T2,-,-,-,T1,-,-,-,CHX,-,CHX,-,CHX,-,-,-,CHX,-,-,-,-,-,T2,-,T1,-,T2,-,T2,-,CHX,-,-,-,T1,-,T2,-,T2,-,T2,-,-,-,CHX,-,-,-,T1,-,CHX,-,CHX,11.0,13.5
32,person_1,COM,-,COM,-,COM,-,-,-,DISP,-,M,-,COM,-,M,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,COM,-,M,-,COM,-,-,-,M,-,-,T1,-,-,-,-,-,CHX,-,T2,-,-,-,-,-,CHX,-,T1,12.0,13.0625
33,person_2,M,-,M,-,M,-,M,-,-,-,-,T1,-,T1,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,T1,-,T1,-,T1,-,CHX,-,T1,-,-,-,-,-,CHX,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,-,CHX,12.0,13.0625
34,person_6,-,-,-,T2,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,M,-,-,-,12.0,13.0625
35,person_4,M,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,T2,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,M,-,COM,-,-,-,COM,-,COM,-,-,-,DISP,-,-,T2,-,-,12.0,13.0625
36,person_8,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,12.0,13.0625
37,person_5,-,-,M,-,M,-,DISP,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,COM,-,COM,-,-,-,M,-,-,-,DISP,-,-,T2,-,T1,-,T1,-,T1,-,-,-,-,-,-,M,-,M,-,12.0,13.0625
38,person_7,-,T1,-,-,-,T2,-,-,-,T1,-,CHX,-,T2,-,T2,-,T1,-,-,-,-,-,T1,-,CHX,-,-,-,T2,-,-,-,T1,-,-,-,-,COM,-,-,-,M,-,M,-,-,-,-,-,M,-,COM,-,COM,-,12.0,13.0625
39,person_3,-,T2,-,CHX,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,T2,-,T1,-,-,-,T1,-,T2,-,T1,-,T2,-,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,T1,-,CHX,-,T1,-,-,-,T1,-,T2,12.0,13.0625
40,person_1,-,T2,-,CHX,-,T1,-,-,-,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,-,-,COM,-,COM,-,M,-,COM,-,COM,-,-,-,M,-,M,-,-,-,M,-,M,-,COM,-,-,-,M,-,M,-,COM,-,13.0,12.625
