,Nurse,2022-02-01-mañana,2022-02-01-tarde,2022-02-02-mañana,2022-02-02-tarde,2022-02-03-mañana,2022-02-03-tarde,2022-02-04-mañana,2022-02-04-tarde,2022-02-05-mañana,2022-02-05-tarde,2022-02-06-mañana,2022-02-06-tarde,2022-02-07-mañana,2022-02-07-tarde,2022-02-08-mañana,2022-02-08-tarde,2022-02-09-mañana,2022-02-09-tarde,2022-02-10-mañana,2022-02-10-tarde,2022-02-11-mañana,2022-02-11-tarde,2022-02-12-mañana,2022-02-12-tarde,2022-02-13-mañana,2022-02-13-tarde,2022-02-14-mañana,2022-02-14-tarde,2022-02-15-mañana,2022-02-15-tarde,2022-02-16-mañana,2022-02-16-tarde,2022-02-17-mañana,2022-02-17-tarde,2022-02-18-mañana,2022-02-18-tarde,2022-02-19-mañana,2022-02-19-tarde,2022-02-20-mañana,2022-02-20-tarde,2022-02-21-mañana,2022-02-21-tarde,2022-02-22-mañana,2022-02-22-tarde,2022-02-23-mañana,2022-02-23-tarde,2022-02-24-mañana,2022-02-24-tarde,2022-02-25-mañana,2022-02-25-tarde,2022-02-26-mañana,2022-02-26-tarde,2022-02-27-mañana,2022-02-27-tarde,2022-02-28-mañana,2022-02-28-tarde,objective_1,objective_2
0,person_7,-,T2,-,CHX,-,T2,-,T2,-,-,-,-,-,CHX,-,-,-,T2,-,T1,-,CHX,-,-,-,T1,-,-,-,CHX,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,T2,-,-,-,T1,-,-,3.0,13.1875
1,person_2,COM,-,M,-,M,-,M,-,-,-,DISP,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,3.0,13.1875
2,person_9,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,T1,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,T2,-,T1,-,-,-,T1,-,T1,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,COM,-,3.0,13.1875
3,person_4,-,T1,-,T2,-,CHX,-,CHX,-,-,-,T1,-,T1,-,T2,-,CHX,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,CHX,-,-,-,-,-,-,-,T2,-,T1,-,CHX,-,CHX,-,T1,-,T1,-,-,M,-,3.0,13.1875
4,person_5,-,T1,-,-,-,-,-,CHX,-,T1,-,-,M,-,M,-,M,-,COM,-,COM,-,-,-,M,-,-,T1,-,T1,-,-,-,T2,-,CHX,-,-,-,-,-,T1,-,T2,-,T2,-,T2,-,-,-,-,-,-,COM,-,3.0,13.1875
5,person_8,-,-,M,-,COM,-,M,-,M,-,-,-,-,T2,-,T1,-,-,-,CHX,-,T2,-,-,-,-,COM,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,COM,-,M,-,-,-,-,-,COM,-,DISP,-,-,-,-,CHX,3.0,13.1875
6,person_6,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,DISP,-,-,-,-,CHX,-,T2,-,T2,-,CHX,-,-,-,T1,-,-,M,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,-,T1,3.0,13.1875
7,person_1,M,-,COM,-,M,-,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,T2,3.0,13.1875
8,person_3,M,-,-,-,COM,-,COM,-,DISP,-,-,-,-,-,COM,-,-,-,M,-,COM,-,-,-,DISP,-,COM,-,COM,-,M,-,COM,-,M,-,-,-,M,-,-,CHX,-,CHX,-,T1,-,T1,-,CHX,-,-,-,-,M,-,3.0,13.1875
9,person_7,M,-,COM,-,COM,-,COM,-,-,-,-,-,-,T2,-,-,-,T2,-,T2,-,T2,-,-,-,T1,-,-,-,CHX,-,T1,-,T1,-,CHX,-,-,-,T1,-,-,-,T1,-,T2,-,CHX,-,T2,-,-,-,T1,-,-,5.0,12.1875
10,person_2,COM,-,M,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,5.0,12.1875
11,person_9,-,-,-,-,-,-,-,CHX,-,-,-,-,-,T2,-,CHX,-,T2,-,T2,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,T2,-,-,-,-,M,-,COM,-,M,-,COM,-,COM,-,DISP,-,-,-,-,CHX,5.0,12.1875
12,person_4,-,T2,-,T2,-,CHX,-,T2,-,-,-,T1,-,T1,-,T1,-,T1,-,T1,-,T1,-,T1,-,-,-,T2,-,T1,-,CHX,-,CHX,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,T1,-,T1,-,T1,-,-,M,-,5.0,12.1875
13,person_5,M,-,-,-,COM,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,-,T1,-,T2,-,T1,-,CHX,-,-,-,T1,-,-,-,T1,-,T2,-,-,-,T2,-,T1,-,-,-,-,-,T2,5.0,12.1875
14,person_8,-,T1,-,CHX,-,T1,-,T1,-,T1,-,-,M,-,COM,-,COM,-,-,-,COM,-,-,-,DISP,-,M,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,-,CHX,-,CHX,-,CHX,-,T2,-,CHX,-,-,-,-,-,T2,5.0,12.1875
15,person_6,-,CHX,-,T1,-,T2,-,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,M,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,DISP,-,-,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,CHX,5.0,12.1875
16,person_1,COM,-,M,-,M,-,-,-,-,-,M,-,-,T2,-,T2,-,T2,-,CHX,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,-,T1,5.0,12.1875
17,person_3,M,-,-,-,M,-,COM,-,DISP,-,-,-,-,CHX,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,-,CHX,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,COM,-,5.0,12.1875
18,person_7,M,-,COM,-,COM,-,M,-,-,-,-,-,-,CHX,-,-,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T1,-,-,-,CHX,-,T2,-,CHX,-,T2,-,-,-,T1,-,T1,6.0,12.0625
