,Nurse,2023-12-01-mañana,2023-12-01-tarde,2023-12-02-mañana,2023-12-02-tarde,2023-12-03-mañana,2023-12-03-tarde,2023-12-04-mañana,2023-12-04-tarde,2023-12-05-mañana,2023-12-05-tarde,2023-12-06-mañana,2023-12-06-tarde,2023-12-07-mañana,2023-12-07-tarde,2023-12-08-mañana,2023-12-08-tarde,2023-12-09-mañana,2023-12-09-tarde,2023-12-10-mañana,2023-12-10-tarde,2023-12-11-mañana,2023-12-11-tarde,2023-12-12-mañana,2023-12-12-tarde,2023-12-13-mañana,2023-12-13-tarde,2023-12-14-mañana,2023-12-14-tarde,2023-12-15-mañana,2023-12-15-tarde,2023-12-16-mañana,2023-12-16-tarde,2023-12-17-mañana,2023-12-17-tarde,2023-12-18-mañana,2023-12-18-tarde,2023-12-19-mañana,2023-12-19-tarde,2023-12-20-mañana,2023-12-20-tarde,2023-12-21-mañana,2023-12-21-tarde,2023-12-22-mañana,2023-12-22-tarde,2023-12-23-mañana,2023-12-23-tarde,2023-12-24-mañana,2023-12-24-tarde,2023-12-25-mañana,2023-12-25-tarde,2023-12-26-mañana,2023-12-26-tarde,2023-12-27-mañana,2023-12-27-tarde,2023-12-28-mañana,2023-12-28-tarde,2023-12-29-mañana,2023-12-29-tarde,2023-12-30-mañana,2023-12-30-tarde,2023-12-31-mañana,2023-12-31-tarde,objective_1,objective_2
0,person_5,-,T2,-,-,-,-,COM,-,M,-,M,-,COM,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,COM,-,-,-,-,-,M,-,-,-,DISP,-,M,-,M,-,-,-,COM,-,DISP,-,-,-,8.0,23.4375
1,person_1,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,COM,-,M,-,COM,-,COM,-,-,-,DISP,-,-,-,-,T1,-,T1,-,T1,-,T1,-,-,-,-,8.0,23.4375
2,person_2,M,-,DISP,-,-,-,M,-,-,-,M,-,M,-,DISP,-,-,-,M,-,-,CHX,-,T1,-,-,-,CHX,-,T2,-,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,-,-,-,-,M,-,M,-,-,-,DISP,-,8.0,23.4375
3,person_6,-,-,-,-,DISP,-,-,CHX,-,T2,-,T1,-,-,-,-,-,T1,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,23.4375
4,person_9,COM,-,M,-,-,-,-,T2,-,-,-,T2,-,T1,-,-,-,-,-,-,COM,-,M,-,-,-,M,-,M,-,-,-,DISP,-,M,-,-,-,-,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,8.0,23.4375
5,person_3,-,CHX,-,-,-,T1,-,T1,-,T2,-,CHX,-,T2,-,-,-,-,-,T1,-,-,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,-,-,T2,-,CHX,-,T2,-,T2,-,-,-,-,8.0,23.4375
6,person_8,-,-,-,-,-,-,M,-,M,-,-,-,-,-,M,-,-,-,DISP,-,-,-,-,-,-,CHX,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,COM,-,COM,-,COM,-,-,-,-,-,M,-,8.0,23.4375
7,person_7,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,-,-,-,T1,-,-,-,T1,-,T2,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,T2,-,T1,-,CHX,-,-,-,CHX,-,-,-,-,-,-,-,CHX,-,T1,-,-,-,-,-,T1,-,-,8.0,23.4375
8,person_4,-,T1,-,-,-,-,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,-,-,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,T1,-,CHX,-,T2,-,CHX,-,CHX,-,-,-,T1,8.0,23.4375
9,person_10,-,CHX,-,-,-,T1,-,CHX,-,CHX,-,-,-,CHX,-,-,-,-,-,-,-,CHX,-,-,-,-,-,T1,-,CHX,-,T1,-,-,-,CHX,-,T2,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,-,-,-,8.0,23.4375
