,Nurse,2023-12-01-mañana,2023-12-01-tarde,2023-12-02-mañana,2023-12-02-tarde,2023-12-03-mañana,2023-12-03-tarde,2023-12-04-mañana,2023-12-04-tarde,2023-12-05-mañana,2023-12-05-tarde,2023-12-06-mañana,2023-12-06-tarde,2023-12-07-mañana,2023-12-07-tarde,2023-12-08-mañana,2023-12-08-tarde,2023-12-09-mañana,2023-12-09-tarde,2023-12-10-mañana,2023-12-10-tarde,2023-12-11-mañana,2023-12-11-tarde,2023-12-12-mañana,2023-12-12-tarde,2023-12-13-mañana,2023-12-13-tarde,2023-12-14-mañana,2023-12-14-tarde,2023-12-15-mañana,2023-12-15-tarde,2023-12-16-mañana,2023-12-16-tarde,2023-12-17-mañana,2023-12-17-tarde,2023-12-18-mañana,2023-12-18-tarde,2023-12-19-mañana,2023-12-19-tarde,2023-12-20-mañana,2023-12-20-tarde,2023-12-21-mañana,2023-12-21-tarde,2023-12-22-mañana,2023-12-22-tarde,2023-12-23-mañana,2023-12-23-tarde,2023-12-24-mañana,2023-12-24-tarde,2023-12-25-mañana,2023-12-25-tarde,2023-12-26-mañana,2023-12-26-tarde,2023-12-27-mañana,2023-12-27-tarde,2023-12-28-mañana,2023-12-28-tarde,2023-12-29-mañana,2023-12-29-tarde,2023-12-30-mañana,2023-12-30-tarde,2023-12-31-mañana,2023-12-31-tarde,objective_1,objective_2
26,person_7,M,-,M,-,-,-,-,-,-,-,COM,-,M,-,DISP,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,-,CHX,-,T2,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,COM,-,M,-,COM,-,M,-,-,-,M,-,14.0,11.5625
27,person_4,-,T2,-,-,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,COM,-,COM,-,M,-,-,-,M,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,-,M,-,-,T1,-,T1,-,T1,-,-,-,T1,-,-,-,T2,15.0,11.1875
28,person_6,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,DISP,-,M,-,-,-,-,T1,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,-,-,-,COM,-,M,-,M,-,DISP,-,-,-,M,-,COM,-,COM,-,M,-,-,-,DISP,-,-,-,15.0,11.1875
29,person_1,-,T1,-,T1,-,-,-,CHX,-,T2,-,-,-,CHX,-,T1,-,T1,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,-,T2,-,-,-,-,-,T1,-,CHX,-,-,-,T1,-,-,-,T2,-,CHX,-,T1,-,T1,-,-,-,-,15.0,11.1875
30,person_9,-,CHX,-,-,-,T1,-,T1,-,CHX,-,T2,-,CHX,-,T1,-,-,-,T1,-,T2,-,T2,-,T1,-,-,-,CHX,-,T1,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,T2,-,-,-,T1,15.0,11.1875
31,person_5,-,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,DISP,-,-,-,-,CHX,-,CHX,-,T1,-,T1,-,T1,-,T1,-,-,-,-,-,-,M,-,-,-,COM,-,M,-,-,-,15.0,11.1875
32,person_3,M,-,-,-,DISP,-,COM,-,COM,-,M,-,COM,-,-,-,DISP,-,-,-,-,CHX,-,-,-,T2,-,T2,-,T2,-,-,-,-,M,-,COM,-,-,-,COM,-,COM,-,M,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,DISP,-,15.0,11.1875
33,person_2,COM,-,DISP,-,-,-,-,CHX,-,-,-,T1,-,T2,-,T1,-,-,-,-,COM,-,M,-,-,-,M,-,-,-,-,-,-,-,-,T2,-,T2,-,T2,-,T2,-,T2,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,CHX,-,-,-,-,15.0,11.1875
34,person_8,-,T1,-,-,-,T1,-,-,M,-,-,-,M,-,DISP,-,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T1,-,-,-,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,-,-,-,-,T2,-,T2,-,T1,-,-,15.0,11.1875
35,person_7,M,-,M,-,-,-,M,-,M,-,COM,-,-,-,-,-,-,-,DISP,-,M,-,M,-,M,-,-,-,COM,-,M,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T2,-,-,-,-,DISP,-,M,-,M,-,COM,-,M,-,-,-,M,-,15.0,11.1875
