,Nurse,2022-12-01-mañana,2022-12-01-tarde,2022-12-02-mañana,2022-12-02-tarde,2022-12-03-mañana,2022-12-03-tarde,2022-12-04-mañana,2022-12-04-tarde,2022-12-05-mañana,2022-12-05-tarde,2022-12-06-mañana,2022-12-06-tarde,2022-12-07-mañana,2022-12-07-tarde,2022-12-08-mañana,2022-12-08-tarde,2022-12-09-mañana,2022-12-09-tarde,2022-12-10-mañana,2022-12-10-tarde,2022-12-11-mañana,2022-12-11-tarde,2022-12-12-mañana,2022-12-12-tarde,2022-12-13-mañana,2022-12-13-tarde,2022-12-14-mañana,2022-12-14-tarde,2022-12-15-mañana,2022-12-15-tarde,2022-12-16-mañana,2022-12-16-tarde,2022-12-17-mañana,2022-12-17-tarde,2022-12-18-mañana,2022-12-18-tarde,2022-12-19-mañana,2022-12-19-tarde,2022-12-20-mañana,2022-12-20-tarde,2022-12-21-mañana,2022-12-21-tarde,2022-12-22-mañana,2022-12-22-tarde,2022-12-23-mañana,2022-12-23-tarde,2022-12-24-mañana,2022-12-24-tarde,2022-12-25-mañana,2022-12-25-tarde,2022-12-26-mañana,2022-12-26-tarde,2022-12-27-mañana,2022-12-27-tarde,2022-12-28-mañana,2022-12-28-tarde,2022-12-29-mañana,2022-12-29-tarde,2022-12-30-mañana,2022-12-30-tarde,2022-12-31-mañana,2022-12-31-tarde,objective_1,objective_2
0,person_5,-,CHX,-,T2,-,-,-,T1,-,-,M,-,M,-,-,-,-,-,-,-,-,-,-,T2,-,-,-,T2,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,CHX,-,T1,-,T1,-,-,-,T1,-,-,-,-,M,-,COM,-,COM,-,-,-,0.0,11.5
1,person_1,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,DISP,-,-,-,-,-,M,-,-,-,-,-,M,-,-,-,M,-,-,-,DISP,-,COM,-,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,-,-,M,-,-,-,0.0,11.5
2,person_6,-,T2,-,T1,-,-,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,-,T2,-,CHX,-,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,T1,-,-,0.0,11.5
3,person_2,COM,-,M,-,-,-,M,-,COM,-,COM,-,COM,-,-,-,COM,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,-,-,M,-,-,CHX,-,CHX,-,T1,-,-,-,T1,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,DISP,-,0.0,11.5
4,person_9,-,-,M,-,-,-,DISP,-,-,T1,-,T2,-,-,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,-,-,-,-,CHX,-,-,-,-,M,-,COM,-,-,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,-,-,M,-,M,-,0.0,11.5
5,person_3,-,-,-,CHX,-,T1,-,-,-,CHX,-,T2,-,-,-,T1,-,-,-,T1,-,-,COM,-,COM,-,COM,-,-,-,COM,-,-,-,-,-,-,CHX,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,-,T2,-,T2,-,-,-,-,-,T2,-,-,0.0,11.5
6,person_8,-,-,M,-,M,-,-,-,-,T2,-,CHX,-,T2,-,-,-,T2,-,-,-,-,-,-,M,-,-,-,COM,-,COM,-,DISP,-,-,-,-,CHX,-,CHX,-,T2,-,T2,-,CHX,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,-,0.0,11.5
7,person_4,M,-,COM,-,-,-,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,-,M,-,M,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,-,-,-,-,M,-,M,-,COM,-,-,-,0.0,11.5
8,person_11,-,-,-,-,DISP,-,-,-,-,-,M,-,COM,-,DISP,-,M,-,-,-,DISP,-,-,T2,-,T2,-,T1,-,T1,-,T2,-,-,-,-,COM,-,M,-,COM,-,COM,-,M,-,DISP,-,-,-,-,-,M,-,COM,-,COM,-,COM,-,DISP,-,0.0,11.5
9,person_10,M,-,-,-,-,-,DISP,-,M,-,M,-,M,-,-,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,-,-,-,-,M,-,-,-,M,-,M,-,M,-,COM,-,M,-,-,-,DISP,-,-,T1,-,CHX,-,T2,-,-,-,-,-,-,0.0,11.5
10,person_7,-,T1,-,CHX,-,-,-,-,M,-,-,-,COM,-,M,-,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,T2,-,T1,-,-,-,T1,-,T2,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,CHX,-,T2,-,T2,-,T2,-,CHX,-,T1,0.0,11.5
11,person_5,-,T1,-,T2,-,-,-,T1,-,-,-,T2,-,CHX,-,T1,-,CHX,-,T1,-,-,-,CHX,-,-,-,T2,-,T2,-,CHX,-,T1,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,-,-,2.0,10.5
12,person_1,-,-,COM,-,M,-,-,-,COM,-,COM,-,-,-,M,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,-,-,COM,-,-,-,DISP,-,COM,-,COM,-,-,-,M,-,M,-,-,-,M,-,-,CHX,-,T1,-,-,-,-,-,CHX,-,-,2.0,10.5
13,person_6,M,-,M,-,-,-,M,-,-,-,-,-,M,-,DISP,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,COM,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,2.0,10.5
14,person_2,COM,-,M,-,-,-,DISP,-,COM,-,COM,-,M,-,-,-,M,-,-,-,DISP,-,COM,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,M,-,COM,-,M,-,-,-,COM,-,DISP,-,-,-,-,CHX,-,CHX,-,-,-,T1,-,T1,-,-,2.0,10.5
15,person_9,-,-,M,-,-,-,DISP,-,-,T2,-,T2,-,-,-,T1,-,T2,-,-,-,-,-,T1,-,CHX,-,CHX,-,-,-,CHX,-,-,-,-,M,-,COM,-,-,-,M,-,COM,-,-,-,DISP,-,-,T2,-,T2,-,-,-,-,-,T2,-,-,2.0,10.5
16,person_3,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,T1,-,T1,-,-,-,T1,-,T1,-,T1,-,T1,-,-,-,CHX,-,-,-,T1,-,CHX,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,M,-,COM,-,-,-,-,-,COM,-,-,-,2.0,10.5
17,person_8,M,-,M,-,-,-,COM,-,M,-,COM,-,M,-,DISP,-,COM,-,M,-,-,-,-,-,-,T2,-,T2,-,T1,-,T2,-,-,-,-,-,T1,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,T2,-,T2,-,T2,-,CHX,-,-,2.0,10.5
18,person_4,-,T2,-,-,-,T1,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,-,T2,-,T2,-,-,-,T2,-,-,-,T1,-,-,-,-,M,-,M,-,M,-,-,-,2.0,10.5
19,person_11,COM,-,COM,-,DISP,-,-,-,-,-,-,T2,-,T1,-,T1,-,T2,-,-,-,-,M,-,COM,-,M,-,M,-,COM,-,M,-,-,-,M,-,M,-,COM,-,M,-,COM,-,M,-,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,2.0,10.5
20,person_10,-,T1,-,CHX,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,DISP,-,-,-,COM,-,COM,-,M,-,M,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,-,-,-,-,M,-,2.0,10.5
21,person_7,-,CHX,-,T2,-,-,-,T1,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,-,T2,-,T1,-,T1,-,CHX,-,-,-,-,-,T1,-,T1,-,T1,-,T1,-,CHX,-,T2,-,T1,2.0,10.5
22,person_5,-,CHX,-,T2,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,T1,-,-,-,-,-,T2,-,-,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,-,-,-,T1,-,CHX,-,T1,-,T1,-,-,COM,-,-,-,COM,-,M,-,M,-,-,-,3.0,10.0625
23,person_1,-,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,DISP,-,-,-,COM,-,M,-,COM,-,-,-,COM,-,-,-,M,-,M,-,M,-,-,-,COM,-,M,-,-,-,M,-,-,T1,-,CHX,-,-,-,-,-,CHX,-,-,3.0,10.0625
24,person_6,M,-,M,-,DISP,-,-,-,-,-,-,-,-,-,-,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,-,T1,-,CHX,-,T1,-,-,3.0,10.0625
25,person_2,M,-,M,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,COM,-,-,-,M,-,COM,-,M,-,-,-,COM,-,COM,-,DISP,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,DISP,-,-,-,-,CHX,-,T2,-,-,-,T2,-,T2,-,-,3.0,10.0625
26,person_9,-,-,COM,-,DISP,-,-,-,-,T2,-,T1,-,-,-,-,-,CHX,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,-,-,DISP,-,-,T1,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,M,-,M,-,-,-,-,-,M,-,DISP,-,3.0,10.0625
27,person_3,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,T1,-,T2,-,-,-,T1,-,T2,-,T1,-,T1,-,-,-,T2,-,T1,-,-,-,T1,-,CHX,-,-,-,T2,-,T2,-,-,-,T1,-,T2,-,T1,-,-,-,-,-,T1,-,-,3.0,10.0625
28,person_8,M,-,M,-,-,-,DISP,-,-,CHX,-,CHX,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,T2,-,T2,-,CHX,-,T2,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,T1,-,T2,-,T2,-,T1,-,-,3.0,10.0625
29,person_4,-,T2,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,-,-,-,T2,-,T1,-,-,M,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,-,-,-,-,-,T1,-,T1,-,T1,3.0,10.0625
30,person_11,-,T1,-,CHX,-,-,-,-,-,-,M,-,COM,-,DISP,-,M,-,M,-,-,-,M,-,COM,-,COM,-,COM,-,COM,-,M,-,-,-,-,CHX,-,T2,-,T2,-,T2,-,T2,-,-,-,-,-,-,COM,-,M,-,M,-,COM,-,M,-,3.0,10.0625
31,person_10,COM,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,-,CHX,-,T2,-,T2,-,T2,-,-,-,-,-,-,COM,-,COM,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,M,-,COM,-,-,-,COM,-,3.0,10.0625
32,person_7,-,CHX,-,T2,-,-,-,T1,-,T1,-,T2,-,T1,-,T1,-,-,-,T1,-,-,-,T1,-,CHX,-,T1,-,T1,-,CHX,-,-,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,T2,-,CHX,-,CHX,3.0,10.0625
33,person_5,-,T1,-,T2,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,CHX,-,-,-,T1,-,CHX,-,-,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,T1,-,T1,-,T1,-,T1,4.0,9.5
