,Nurse,2023-01-01-mañana,2023-01-01-tarde,2023-01-02-mañana,2023-01-02-tarde,2023-01-03-mañana,2023-01-03-tarde,2023-01-04-mañana,2023-01-04-tarde,2023-01-05-mañana,2023-01-05-tarde,2023-01-06-mañana,2023-01-06-tarde,2023-01-07-mañana,2023-01-07-tarde,2023-01-08-mañana,2023-01-08-tarde,2023-01-09-mañana,2023-01-09-tarde,2023-01-10-mañana,2023-01-10-tarde,2023-01-11-mañana,2023-01-11-tarde,2023-01-12-mañana,2023-01-12-tarde,2023-01-13-mañana,2023-01-13-tarde,2023-01-14-mañana,2023-01-14-tarde,2023-01-15-mañana,2023-01-15-tarde,2023-01-16-mañana,2023-01-16-tarde,2023-01-17-mañana,2023-01-17-tarde,2023-01-18-mañana,2023-01-18-tarde,2023-01-19-mañana,2023-01-19-tarde,2023-01-20-mañana,2023-01-20-tarde,2023-01-21-mañana,2023-01-21-tarde,2023-01-22-mañana,2023-01-22-tarde,2023-01-23-mañana,2023-01-23-tarde,2023-01-24-mañana,2023-01-24-tarde,2023-01-25-mañana,2023-01-25-tarde,2023-01-26-mañana,2023-01-26-tarde,2023-01-27-mañana,2023-01-27-tarde,2023-01-28-mañana,2023-01-28-tarde,2023-01-29-mañana,2023-01-29-tarde,2023-01-30-mañana,2023-01-30-tarde,2023-01-31-mañana,2023-01-31-tarde,objective_1,objective_2
0,person_5,-,T1,-,CHX,-,T1,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,-,CHX,-,T1,-,CHX,-,-,-,T1,-,T2,-,CHX,-,T1,-,CHX,-,CHX,-,-,-,-,COM,-,COM,-,-,-,COM,-,-,-,-,-,M,-,COM,-,M,-,6.0,11.5
1,person_8,M,-,COM,-,M,-,-,-,-,-,-,-,M,-,-,-,-,T1,-,CHX,-,T1,-,T2,-,-,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,-,-,COM,-,M,-,COM,-,COM,-,-,-,-,-,-,-,M,-,M,-,M,-,6.0,11.5
2,person_10,-,-,COM,-,-,-,-,-,M,-,COM,-,-,-,COM,-,COM,-,-,-,-,-,COM,-,-,-,COM,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,-,M,-,-,CHX,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,-,-,T1,-,T2,6.0,11.5
3,person_12,M,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,-,-,-,-,-,-,M,-,-,T1,-,T2,-,-,-,T2,-,CHX,-,-,-,-,M,-,M,-,M,-,-,-,COM,-,M,-,-,-,M,-,COM,-,6.0,11.5
4,person_1,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,DISP,-,M,-,M,-,COM,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,COM,-,COM,-,-,-,COM,-,M,-,M,-,-,-,-,-,-,-,DISP,-,-,-,M,-,6.0,11.5
5,person_9,-,-,COM,-,COM,-,M,-,-,-,-,-,-,-,DISP,-,M,-,-,-,COM,-,COM,-,M,-,DISP,-,-,-,M,-,COM,-,-,-,M,-,-,-,-,-,DISP,-,-,CHX,-,CHX,-,T2,-,-,-,T1,-,-,-,-,COM,-,M,-,6.0,11.5
6,person_7,COM,-,M,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,COM,-,M,-,COM,-,-,-,COM,-,-,CHX,-,CHX,6.0,11.5
7,person_13,-,T1,-,T1,-,CHX,-,-,-,T2,-,-,-,-,-,-,-,-,COM,-,COM,-,M,-,-,-,-,-,-,-,COM,-,COM,-,M,-,COM,-,-,-,-,-,M,-,COM,-,M,-,M,-,COM,-,M,-,DISP,-,-,-,M,-,COM,-,6.0,11.5
8,person_4,-,-,-,T2,-,-,-,-,-,-,-,-,-,-,-,T1,-,T1,-,T2,-,CHX,-,-,-,T2,-,T1,-,-,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,-,T1,-,T2,-,-,-,T2,-,CHX,-,CHX,-,-,-,T1,-,T2,-,-,6.0,11.5
9,person_2,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,COM,-,COM,-,-,-,M,-,M,-,M,-,-,-,-,-,M,-,6.0,11.5
10,person_11,-,T1,-,-,-,T2,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,-,-,T2,6.0,11.5
11,person_14,-,T1,-,CHX,-,-,-,CHX,-,T2,-,T2,-,-,-,T1,-,-,M,-,COM,-,M,-,M,-,-,-,M,-,COM,-,-,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,T1,-,T1,-,T1,-,T2,-,T1,-,-,-,CHX,-,T1,6.0,11.5
12,person_3,-,T1,-,-,-,CHX,-,T1,-,T1,-,CHX,-,-,-,-,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,COM,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,T1,-,-,-,T1,-,T1,-,CHX,6.0,11.5
13,person_6,DISP,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,M,-,-,-,M,-,-,-,-,-,COM,-,-,-,DISP,-,-,CHX,-,-,-,CHX,-,T1,-,T1,-,-,-,-,M,-,-,-,M,-,M,-,M,-,COM,-,-,-,-,T2,-,T1,6.0,11.5
