,Nurse,2023-03-01-mañana,2023-03-01-tarde,2023-03-02-mañana,2023-03-02-tarde,2023-03-03-mañana,2023-03-03-tarde,2023-03-04-mañana,2023-03-04-tarde,2023-03-05-mañana,2023-03-05-tarde,2023-03-06-mañana,2023-03-06-tarde,2023-03-07-mañana,2023-03-07-tarde,2023-03-08-mañana,2023-03-08-tarde,2023-03-09-mañana,2023-03-09-tarde,2023-03-10-mañana,2023-03-10-tarde,2023-03-11-mañana,2023-03-11-tarde,2023-03-12-mañana,2023-03-12-tarde,2023-03-13-mañana,2023-03-13-tarde,2023-03-14-mañana,2023-03-14-tarde,2023-03-15-mañana,2023-03-15-tarde,2023-03-16-mañana,2023-03-16-tarde,2023-03-17-mañana,2023-03-17-tarde,2023-03-18-mañana,2023-03-18-tarde,2023-03-19-mañana,2023-03-19-tarde,2023-03-20-mañana,2023-03-20-tarde,2023-03-21-mañana,2023-03-21-tarde,2023-03-22-mañana,2023-03-22-tarde,2023-03-23-mañana,2023-03-23-tarde,2023-03-24-mañana,2023-03-24-tarde,2023-03-25-mañana,2023-03-25-tarde,2023-03-26-mañana,2023-03-26-tarde,2023-03-27-mañana,2023-03-27-tarde,2023-03-28-mañana,2023-03-28-tarde,2023-03-29-mañana,2023-03-29-tarde,2023-03-30-mañana,2023-03-30-tarde,2023-03-31-mañana,2023-03-31-tarde,objective_1,objective_2
0,person_7,COM,-,M,-,-,-,-,-,DISP,-,-,T1,-,T2,-,-,-,T1,-,T1,-,-,-,-,M,-,COM,-,COM,-,M,-,COM,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,M,-,-,-,-,CHX,-,-,-,T2,-,T2,-,T1,11.0,12.5625
1,person_5,-,T1,-,CHX,-,CHX,-,-,-,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,-,-,M,-,COM,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,M,-,COM,-,DISP,-,-,-,-,CHX,-,T1,-,CHX,-,T1,-,CHX,11.0,12.5625
2,person_8,-,-,-,T2,-,T1,-,T1,-,-,-,CHX,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,-,T2,-,T1,-,-,-,CHX,-,T2,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T2,-,T2,-,T1,-,-,M,-,COM,-,-,-,M,-,M,-,11.0,12.5625
3,person_1,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,DISP,-,COM,-,-,-,M,-,COM,-,M,-,-,-,DISP,-,-,-,-,CHX,-,-,-,T1,-,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,11.0,12.5625
4,person_3,-,-,M,-,M,-,-,-,M,-,-,-,COM,-,M,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,-,T1,-,T2,-,T1,-,CHX,-,CHX,-,-,-,-,M,-,-,-,M,-,M,-,M,-,11.0,12.5625
5,person_4,M,-,M,-,COM,-,DISP,-,-,-,-,-,-,T1,-,CHX,-,T2,-,CHX,-,-,-,T1,-,-,-,T2,-,T2,-,T2,-,CHX,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,11.0,12.5625
6,person_2,-,CHX,-,-,-,T2,-,-,-,-,COM,-,-,-,COM,-,COM,-,-,-,-,-,M,-,-,CHX,-,-,-,CHX,-,-,-,T1,-,T1,-,-,DISP,-,COM,-,COM,-,COM,-,-,-,-,-,DISP,-,-,T1,-,T2,-,-,-,-,-,T2,11.0,12.5625
7,person_6,-,T2,-,T1,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,-,-,-,T2,-,T1,-,-,-,T1,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,T2,-,-,-,T1,-,-,-,T1,-,T2,-,CHX,-,T1,-,CHX,-,CHX,11.0,12.5625
8,person_7,M,-,M,-,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,COM,-,M,-,-,-,M,-,COM,-,M,-,M,-,COM,-,DISP,-,-,-,-,T1,-,CHX,-,-,-,CHX,-,T2,-,-,-,-,-,CHX,-,-,-,T1,-,CHX,-,T2,13.0,11.5
9,person_5,-,-,-,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,COM,-,M,-,COM,-,M,-,-,-,DISP,-,-,-,-,CHX,-,CHX,-,T2,-,CHX,13.0,11.5
10,person_8,-,CHX,-,T2,-,T1,-,T1,-,-,COM,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,-,T2,-,CHX,-,T1,-,CHX,-,T2,-,-,-,T1,-,T1,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,13.0,11.5
11,person_1,M,-,M,-,COM,-,DISP,-,-,-,-,T2,-,T2,-,-,-,T2,-,CHX,-,-,-,-,COM,-,-,-,COM,-,COM,-,M,-,M,-,-,-,DISP,-,M,-,-,-,M,-,-,-,M,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,13.0,11.5
12,person_3,-,T1,-,T1,-,CHX,-,-,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,-,-,M,-,M,-,M,-,13.0,11.5
13,person_4,-,T2,-,CHX,-,T2,-,-,-,T1,-,-,-,T1,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,T2,-,T2,-,T2,-,CHX,-,T1,-,-,-,-,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,COM,-,M,-,M,-,-,-,COM,-,13.0,11.5
14,person_2,COM,-,-,-,M,-,-,-,DISP,-,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,-,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,T2,-,CHX,-,-,-,T1,13.0,11.5
15,person_6,M,-,COM,-,-,-,-,-,-,-,-,T1,-,T2,-,T1,-,-,-,T2,-,T1,-,-,M,-,M,-,COM,-,COM,-,-,-,-,-,DISP,-,DISP,-,M,-,COM,-,-,-,COM,-,-,-,M,-,-,T2,-,T1,-,T2,-,T1,-,T1,13.0,11.5
16,person_7,-,T1,-,T1,-,CHX,-,-,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,COM,-,M,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,CHX,-,-,-,CHX,-,T2,-,CHX,14.0,10.5625
17,person_5,COM,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,14.0,10.5625
18,person_8,-,-,-,T2,-,T1,-,T1,-,-,COM,-,COM,-,COM,-,COM,-,COM,-,DISP,-,-,-,-,T2,-,T1,-,-,-,CHX,-,T2,-,-,-,-,-,T1,-,T2,-,T2,-,T2,-,T1,-,T1,-,-,M,-,COM,-,COM,-,M,-,COM,-,14.0,10.5625
19,person_1,M,-,COM,-,COM,-,-,-,M,-,-,T1,-,T1,-,-,-,T2,-,T1,-,-,-,-,COM,-,-,-,COM,-,COM,-,M,-,DISP,-,-,-,M,-,COM,-,-,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,M,-,COM,-,COM,-,14.0,10.5625
20,person_3,COM,-,M,-,M,-,DISP,-,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,DISP,-,DISP,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,14.0,10.5625
21,person_4,-,CHX,-,CHX,-,T2,-,-,-,T1,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,CHX,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,-,M,-,COM,-,COM,-,DISP,-,-,-,COM,-,M,-,M,-,COM,-,M,-,14.0,10.5625
22,person_2,-,T2,-,-,-,CHX,-,-,-,-,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,-,-,T1,-,T1,-,-,-,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,T1,-,T2,-,T1,-,-,-,T1,14.0,10.5625
23,person_6,M,-,COM,-,-,-,-,-,DISP,-,-,T2,-,T1,-,T1,-,-,-,T2,-,-,-,-,-,CHX,-,T2,-,T2,-,T1,-,-,-,-,-,T1,-,T1,-,T1,-,T1,-,T1,-,CHX,-,-,-,T1,-,T2,-,T1,-,T2,-,T1,-,T2,14.0,10.5625
24,person_7,M,-,M,-,COM,-,M,-,-,-,M,-,COM,-,-,-,M,-,COM,-,-,-,DISP,-,M,-,COM,-,M,-,M,-,COM,-,DISP,-,-,-,-,T1,-,T2,-,-,-,CHX,-,T2,-,-,-,-,-,CHX,-,-,-,T1,-,CHX,-,T2,15.0,10.5
25,person_5,-,CHX,-,T1,-,CHX,-,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,-,-,-,CHX,-,-,-,T2,-,CHX,15.0,10.5
26,person_8,-,T2,-,T2,-,T1,-,T1,-,-,COM,-,M,-,COM,-,COM,-,COM,-,M,-,-,-,-,T2,-,T2,-,T1,-,CHX,-,T2,-,-,-,-,-,T1,-,CHX,-,CHX,-,T2,-,T1,-,T1,-,-,M,-,COM,-,-,-,M,-,M,-,15.0,10.5
27,person_1,M,-,M,-,COM,-,-,-,DISP,-,-,T1,-,T1,-,-,-,T2,-,CHX,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,-,-,DISP,-,M,-,M,-,-,-,COM,-,M,-,-,-,M,-,COM,-,M,-,COM,-,COM,-,COM,-,15.0,10.5
28,person_3,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,CHX,-,T1,-,CHX,-,T1,-,T2,-,-,-,-,DISP,-,M,-,M,-,COM,-,M,-,DISP,-,-,-,M,-,-,-,M,-,M,-,M,-,15.0,10.5
