,Nurse,2023-02-01-mañana,2023-02-01-tarde,2023-02-02-mañana,2023-02-02-tarde,2023-02-03-mañana,2023-02-03-tarde,2023-02-04-mañana,2023-02-04-tarde,2023-02-05-mañana,2023-02-05-tarde,2023-02-06-mañana,2023-02-06-tarde,2023-02-07-mañana,2023-02-07-tarde,2023-02-08-mañana,2023-02-08-tarde,2023-02-09-mañana,2023-02-09-tarde,2023-02-10-mañana,2023-02-10-tarde,2023-02-11-mañana,2023-02-11-tarde,2023-02-12-mañana,2023-02-12-tarde,2023-02-13-mañana,2023-02-13-tarde,2023-02-14-mañana,2023-02-14-tarde,2023-02-15-mañana,2023-02-15-tarde,2023-02-16-mañana,2023-02-16-tarde,2023-02-17-mañana,2023-02-17-tarde,2023-02-18-mañana,2023-02-18-tarde,2023-02-19-mañana,2023-02-19-tarde,2023-02-20-mañana,2023-02-20-tarde,2023-02-21-mañana,2023-02-21-tarde,2023-02-22-mañana,2023-02-22-tarde,2023-02-23-mañana,2023-02-23-tarde,2023-02-24-mañana,2023-02-24-tarde,2023-02-25-mañana,2023-02-25-tarde,2023-02-26-mañana,2023-02-26-tarde,2023-02-27-mañana,2023-02-27-tarde,2023-02-28-mañana,2023-02-28-tarde,objective_1,objective_2
39,person_7,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,T1,-,CHX,-,CHX,-,T1,-,T1,-,-,COM,-,M,-,-,-,-,-,-,-,DISP,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,CHX,-,-,-,-,-,T2,-,-,13.0,11.625
40,person_5,COM,-,COM,-,-,-,DISP,-,-,-,-,CHX,-,CHX,-,T2,-,-,-,CHX,-,T1,-,-,-,T1,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,T2,-,T2,14.0,11.625
41,person_3,COM,-,COM,-,M,-,-,-,DISP,-,COM,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,COM,-,-,-,M,-,-,T2,-,T2,-,T2,-,T1,-,CHX,-,-,-,-,-,CHX,-,CHX,14.0,11.625
42,person_8,-,T2,-,T2,-,T1,-,-,-,T1,-,T2,-,T2,-,CHX,-,T1,-,T2,-,-,-,T1,-,CHX,-,CHX,-,T1,-,CHX,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,-,CHX,-,T2,-,-,-,-,-,T2,-,-,14.0,11.625
43,person_6,M,-,M,-,COM,-,-,-,M,-,-,T1,-,T1,-,-,-,T2,-,T1,-,-,-,-,M,-,M,-,-,-,COM,-,M,-,M,-,-,-,COM,-,M,-,COM,-,M,-,COM,-,-,-,DISP,-,-,T1,-,T1,14.0,11.625
44,person_2,M,-,COM,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,COM,-,M,-,M,-,COM,-,-,-,DISP,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,COM,-,M,-,14.0,11.625
45,person_4,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,-,T1,-,CHX,-,T1,-,T2,-,-,-,-,M,-,COM,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,CHX,14.0,11.625
46,person_1,-,CHX,-,CHX,-,T2,-,-,-,-,M,-,COM,-,COM,-,M,-,COM,-,DISP,-,-,-,-,-,M,-,COM,-,COM,-,M,-,DISP,-,-,-,M,-,COM,-,COM,-,COM,-,COM,-,DISP,-,-,-,M,-,COM,-,14.0,11.625
47,person_7,-,T1,-,T1,-,CHX,-,T1,-,-,-,-,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,-,T2,-,T2,-,CHX,-,T2,-,T1,-,T1,-,-,-,-,-,CHX,-,CHX,-,T2,-,T1,-,T1,-,-,M,-,M,-,14.0,11.625
0,person_5,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,-,-,T1,-,T1,-,-,COM,-,-,-,COM,-,M,-,-,-,-,-,DISP,-,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,T2,-,T2,15.0,11.1875
1,person_3,COM,-,COM,-,COM,-,-,-,DISP,-,COM,-,COM,-,COM,-,COM,-,COM,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,-,CHX,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,CHX,-,T1,15.0,11.1875
2,person_8,-,T2,-,T2,-,T1,-,-,-,T1,-,T2,-,T2,-,CHX,-,T1,-,CHX,-,-,-,T1,-,T2,-,T1,-,T1,-,T2,-,T2,-,-,-,T1,-,T2,-,-,-,-,-,CHX,-,T2,-,-,-,-,M,-,-,-,15.0,11.1875
3,person_6,M,-,M,-,M,-,DISP,-,-,-,-,T1,-,T1,-,-,-,T2,-,T2,-,-,-,-,M,-,-,-,-,-,-,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,-,T1,-,T2,15.0,11.1875
4,person_2,M,-,M,-,COM,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,CHX,-,T2,-,CHX,-,CHX,-,CHX,-,-,-,-,COM,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,M,-,15.0,11.1875
5,person_4,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,M,-,COM,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,CHX,15.0,11.1875
6,person_1,-,T1,-,T1,-,CHX,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,M,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,M,-,COM,-,COM,-,COM,-,COM,-,M,-,-,-,COM,-,COM,-,15.0,11.1875
7,person_7,-,-,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,CHX,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,T1,-,T1,-,-,-,-,-,CHX,-,CHX,-,T2,-,CHX,-,T1,-,-,M,-,M,-,15.0,11.1875
