,Nurse,2022-07-01-mañana,2022-07-01-tarde,2022-07-02-mañana,2022-07-02-tarde,2022-07-03-mañana,2022-07-03-tarde,2022-07-04-mañana,2022-07-04-tarde,2022-07-05-mañana,2022-07-05-tarde,2022-07-06-mañana,2022-07-06-tarde,2022-07-07-mañana,2022-07-07-tarde,2022-07-08-mañana,2022-07-08-tarde,2022-07-09-mañana,2022-07-09-tarde,2022-07-10-mañana,2022-07-10-tarde,2022-07-11-mañana,2022-07-11-tarde,2022-07-12-mañana,2022-07-12-tarde,2022-07-13-mañana,2022-07-13-tarde,2022-07-14-mañana,2022-07-14-tarde,2022-07-15-mañana,2022-07-15-tarde,2022-07-16-mañana,2022-07-16-tarde,2022-07-17-mañana,2022-07-17-tarde,2022-07-18-mañana,2022-07-18-tarde,2022-07-19-mañana,2022-07-19-tarde,2022-07-20-mañana,2022-07-20-tarde,2022-07-21-mañana,2022-07-21-tarde,2022-07-22-mañana,2022-07-22-tarde,2022-07-23-mañana,2022-07-23-tarde,2022-07-24-mañana,2022-07-24-tarde,2022-07-25-mañana,2022-07-25-tarde,2022-07-26-mañana,2022-07-26-tarde,2022-07-27-mañana,2022-07-27-tarde,2022-07-28-mañana,2022-07-28-tarde,2022-07-29-mañana,2022-07-29-tarde,2022-07-30-mañana,2022-07-30-tarde,2022-07-31-mañana,2022-07-31-tarde,objective_1,objective_2
0,person_6,-,T2,-,-,-,-,-,-,-,T1,-,T1,-,T2,-,T2,-,-,-,T1,-,CHX,-,T1,-,CHX,-,T1,-,T2,-,T1,-,-,-,T2,-,-,-,-,-,CHX,-,T1,-,-,-,-,-,T2,-,T1,-,CHX,-,T2,-,CHX,-,-,-,T1,21.0,14.5625
1,person_2,M,-,DISP,-,-,-,-,-,M,-,M,-,-,-,COM,-,-,-,DISP,-,M,-,M,-,-,-,COM,-,M,-,DISP,-,-,-,M,-,-,-,-,-,-,-,M,-,M,-,-,-,-,CHX,-,-,-,-,-,CHX,-,T2,-,-,-,-,21.0,14.5625
2,person_8,-,-,-,-,DISP,-,-,-,-,-,-,T2,-,CHX,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,COM,-,-,-,DISP,-,M,-,COM,-,-,-,COM,-,M,-,DISP,-,-,-,M,-,COM,-,M,-,M,-,COM,-,M,-,-,-,21.0,14.5625
3,person_1,-,T1,-,T1,-,-,DISP,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,-,CHX,-,CHX,-,T2,-,-,-,CHX,-,-,-,T1,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,-,-,-,-,T2,-,T1,-,-,-,T1,-,-,-,T2,21.0,14.5625
4,person_4,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,-,-,T1,-,T1,-,-,COM,-,COM,-,M,-,-,-,-,-,-,-,M,-,COM,-,M,-,DISP,-,M,-,COM,-,-,-,DISP,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,21.0,14.5625
5,person_7,COM,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,T2,-,-,-,-,-,T2,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,21.0,14.5625
6,person_5,-,CHX,-,-,-,T1,-,-,-,-,-,-,COM,-,M,-,M,-,-,-,-,T1,-,T2,-,T1,-,CHX,-,-,-,-,-,-,-,T1,-,T2,-,-,-,T2,-,T2,-,T1,-,-,COM,-,M,-,-,-,M,-,-,-,-,-,DISP,-,21.0,14.5625
7,person_3,M,-,-,-,M,-,-,T1,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,T1,-,-,M,-,COM,-,COM,-,M,-,DISP,-,-,-,21.0,14.5625
8,person_6,M,-,-,-,DISP,-,-,-,-,-,-,T2,-,-,-,-,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,T2,-,-,-,T1,-,CHX,-,CHX,-,-,-,T1,-,T1,-,T1,-,-,-,T2,-,T2,-,-,-,T2,-,T2,-,-,-,-,23.0,12.5625
9,person_2,M,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,-,-,-,-,-,-,M,-,M,-,-,-,-,CHX,-,-,-,CHX,-,CHX,-,T1,-,-,-,-,23.0,12.5625
10,person_8,-,-,DISP,-,-,-,-,-,-,T1,-,T1,-,T2,-,T2,-,-,-,-,M,-,COM,-,COM,-,M,-,M,-,-,-,DISP,-,COM,-,COM,-,-,-,M,-,M,-,DISP,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,DISP,-,23.0,12.5625
11,person_1,-,CHX,-,T1,-,-,-,-,M,-,COM,-,M,-,-,-,-,-,M,-,-,CHX,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,-,-,-,CHX,-,-,-,T1,23.0,12.5625
12,person_4,COM,-,M,-,-,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,-,T1,-,T2,-,T2,-,T2,-,-,-,-,-,-,M,-,M,-,DISP,-,COM,-,COM,-,-,-,DISP,-,-,T1,-,T1,-,T2,-,T1,-,-,-,T1,-,-,23.0,12.5625
13,person_7,M,-,-,-,-,-,DISP,-,COM,-,-,-,COM,-,COM,-,DISP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,M,-,DISP,-,-,-,23.0,12.5625
14,person_5,-,T2,-,-,-,T1,-,-,-,CHX,-,-,-,T1,-,T1,-,T1,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,-,-,CHX,-,T2,-,-,-,-,COM,-,M,-,-,-,M,-,COM,-,-,-,M,-,23.0,12.5625
15,person_3,-,T1,-,-,-,-,-,T1,-,T2,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,T2,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,T2,-,-,-,-,-,T2,-,CHX,-,T1,-,-,M,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,23.0,12.5625
16,person_6,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,T1,-,-,-,T1,-,-,-,CHX,-,-,-,T2,-,CHX,-,T1,-,-,-,CHX,-,T2,-,-,-,CHX,-,T1,-,-,-,-,-,-,-,T1,-,-,-,T2,-,T1,-,-,-,T1,24.0,11.5625
17,person_2,-,-,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,COM,-,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,-,-,-,-,COM,-,-,-,DISP,-,-,-,-,CHX,-,-,-,CHX,-,CHX,-,T2,-,-,-,-,24.0,11.5625
18,person_8,COM,-,-,-,DISP,-,-,-,-,-,-,CHX,-,-,-,-,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,-,-,DISP,-,COM,-,COM,-,M,-,M,-,COM,-,-,-,DISP,-,24.0,11.5625
19,person_1,-,T1,-,T1,-,-,DISP,-,M,-,M,-,M,-,-,-,-,-,M,-,-,T1,-,T1,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,T2,-,T2,-,T1,-,-,-,CHX,-,-,-,-,24.0,11.5625
20,person_4,M,-,DISP,-,-,-,M,-,COM,-,M,-,-,-,COM,-,M,-,-,-,-,CHX,-,T2,-,T2,-,CHX,-,CHX,-,-,-,-,COM,-,M,-,DISP,-,COM,-,COM,-,-,-,M,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,24.0,11.5625
21,person_7,-,T1,-,-,-,-,M,-,M,-,-,-,M,-,M,-,DISP,-,-,-,M,-,-,-,COM,-,-,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,-,-,-,-,M,-,24.0,11.5625
22,person_5,-,T2,-,-,-,T1,-,-,-,T2,-,-,-,CHX,-,T2,-,-,-,-,-,-,M,-,M,-,COM,-,COM,-,-,-,M,-,-,-,-,-,-,-,-,T2,-,T2,-,T1,-,-,M,-,M,-,-,-,M,-,M,-,M,-,-,-,24.0,11.5625
23,person_3,M,-,-,-,M,-,-,T1,-,CHX,-,T2,-,T1,-,CHX,-,T1,-,-,-,T2,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,-,-,M,-,COM,-,COM,-,M,-,DISP,-,-,-,24.0,11.5625
24,person_6,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,T2,-,-,-,T1,-,CHX,-,T1,-,CHX,-,CHX,-,T2,-,-,-,T1,-,T1,-,T1,-,-,-,CHX,-,T2,-,T1,-,-,-,T1,-,T1,-,-,-,T2,-,T2,-,-,-,-,25.0,11.1875
