,Nurse,2022-07-01-mañana,2022-07-01-tarde,2022-07-02-mañana,2022-07-02-tarde,2022-07-03-mañana,2022-07-03-tarde,2022-07-04-mañana,2022-07-04-tarde,2022-07-05-mañana,2022-07-05-tarde,2022-07-06-mañana,2022-07-06-tarde,2022-07-07-mañana,2022-07-07-tarde,2022-07-08-mañana,2022-07-08-tarde,2022-07-09-mañana,2022-07-09-tarde,2022-07-10-mañana,2022-07-10-tarde,2022-07-11-mañana,2022-07-11-tarde,2022-07-12-mañana,2022-07-12-tarde,2022-07-13-mañana,2022-07-13-tarde,2022-07-14-mañana,2022-07-14-tarde,2022-07-15-mañana,2022-07-15-tarde,2022-07-16-mañana,2022-07-16-tarde,2022-07-17-mañana,2022-07-17-tarde,2022-07-18-mañana,2022-07-18-tarde,2022-07-19-mañana,2022-07-19-tarde,2022-07-20-mañana,2022-07-20-tarde,2022-07-21-mañana,2022-07-21-tarde,2022-07-22-mañana,2022-07-22-tarde,2022-07-23-mañana,2022-07-23-tarde,2022-07-24-mañana,2022-07-24-tarde,2022-07-25-mañana,2022-07-25-tarde,2022-07-26-mañana,2022-07-26-tarde,2022-07-27-mañana,2022-07-27-tarde,2022-07-28-mañana,2022-07-28-tarde,2022-07-29-mañana,2022-07-29-tarde,2022-07-30-mañana,2022-07-30-tarde,2022-07-31-mañana,2022-07-31-tarde,objective_1,objective_2
0,person_4,COM,-,-,-,DISP,-,-,-,COM,-,COM,-,-,-,-,-,COM,-,-,-,COM,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,-,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,-,-,COM,-,M,-,M,-,-,-,-,-,M,-,0.0,14.5625
1,person_10,M,-,M,-,-,-,DISP,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,-,-,-,-,-,-,COM,-,-,-,M,-,-,-,-,-,M,-,-,-,COM,-,-,-,M,-,-,T1,-,-,-,-,-,T2,-,T2,-,-,-,-,0.0,14.5625
2,person_11,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,T1,-,T1,-,-,M,-,COM,-,COM,-,-,-,-,-,-,-,-,-,-,CHX,-,T1,-,T1,-,T2,-,CHX,-,T1,-,-,-,T2,-,T2,-,T1,-,CHX,-,-,-,T1,-,-,0.0,14.5625
3,person_1,-,-,-,-,-,T1,-,-,COM,-,M,-,-,-,M,-,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,-,-,-,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,-,-,T1,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,-,-,0.0,14.5625
4,person_5,-,CHX,-,-,-,-,-,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,COM,-,COM,-,-,-,M,-,-,-,COM,-,-,-,M,-,-,-,-,-,COM,-,-,-,M,-,-,-,M,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,0.0,14.5625
5,person_13,-,T2,-,-,-,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,COM,-,-,-,-,-,COM,-,M,-,M,-,COM,-,COM,-,COM,-,DISP,-,-,-,M,-,-,-,-,-,M,-,-,-,-,-,DISP,-,0.0,14.5625
6,person_8,M,-,COM,-,-,-,M,-,M,-,M,-,COM,-,-,-,DISP,-,-,-,-,-,M,-,M,-,-,-,M,-,-,-,DISP,-,-,CHX,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,COM,-,0.0,14.5625
7,person_12,-,-,-,-,M,-,COM,-,COM,-,-,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,COM,-,M,-,M,-,M,-,-,-,-,-,M,-,-,CHX,-,-,-,CHX,-,CHX,-,CHX,-,-,-,-,0.0,14.5625
8,person_3,M,-,DISP,-,-,-,M,-,-,-,M,-,-,-,-,-,-,-,M,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,M,-,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,M,-,-,-,M,-,M,-,COM,-,-,-,0.0,14.5625
9,person_7,M,-,-,-,M,-,-,-,-,T1,-,T2,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,M,-,DISP,-,-,-,COM,-,-,-,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,-,-,0.0,14.5625
