,Nurse,2023-02-01-mañana,2023-02-01-tarde,2023-02-02-mañana,2023-02-02-tarde,2023-02-03-mañana,2023-02-03-tarde,2023-02-04-mañana,2023-02-04-tarde,2023-02-05-mañana,2023-02-05-tarde,2023-02-06-mañana,2023-02-06-tarde,2023-02-07-mañana,2023-02-07-tarde,2023-02-08-mañana,2023-02-08-tarde,2023-02-09-mañana,2023-02-09-tarde,2023-02-10-mañana,2023-02-10-tarde,2023-02-11-mañana,2023-02-11-tarde,2023-02-12-mañana,2023-02-12-tarde,2023-02-13-mañana,2023-02-13-tarde,2023-02-14-mañana,2023-02-14-tarde,2023-02-15-mañana,2023-02-15-tarde,2023-02-16-mañana,2023-02-16-tarde,2023-02-17-mañana,2023-02-17-tarde,2023-02-18-mañana,2023-02-18-tarde,2023-02-19-mañana,2023-02-19-tarde,2023-02-20-mañana,2023-02-20-tarde,2023-02-21-mañana,2023-02-21-tarde,2023-02-22-mañana,2023-02-22-tarde,2023-02-23-mañana,2023-02-23-tarde,2023-02-24-mañana,2023-02-24-tarde,2023-02-25-mañana,2023-02-25-tarde,2023-02-26-mañana,2023-02-26-tarde,2023-02-27-mañana,2023-02-27-tarde,2023-02-28-mañana,2023-02-28-tarde,objective_1,objective_2
0,person_9,-,-,-,T1,-,T1,-,-,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,-,-,-,-,-,T2,-,CHX,-,-,-,-,-,-,-,T2,-,T2,-,T2,-,CHX,-,T1,-,-,-,-,-,-,M,-,0.0,15.625
1,person_11,-,T2,-,CHX,-,T2,-,T1,-,-,COM,-,COM,-,-,-,COM,-,-,-,-,-,-,-,-,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,-,CHX,-,-,-,T2,-,-,-,-,-,T1,-,-,-,T1,0.0,15.625
2,person_3,-,-,COM,-,-,-,-,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,CHX,-,T1,-,-,-,CHX,-,CHX,-,T2,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,-,-,-,-,T1,-,-,COM,-,-,-,0.0,15.625
3,person_7,-,-,-,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,DISP,-,-,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,M,-,-,-,-,-,-,T1,0.0,15.625
4,person_1,-,CHX,-,T2,-,CHX,-,-,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,DISP,-,M,-,-,-,M,-,COM,-,COM,-,M,-,-,-,COM,-,-,-,-,-,M,-,M,-,DISP,-,-,-,M,-,-,-,0.0,15.625
5,person_4,-,-,M,-,-,-,-,-,DISP,-,-,-,-,-,M,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,M,-,M,-,-,-,DISP,-,-,CHX,-,-,-,CHX,-,T1,-,T2,-,-,-,-,-,T1,-,-,0.0,15.625
6,person_8,M,-,-,-,M,-,DISP,-,-,-,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,DISP,-,-,-,-,-,-,-,-,-,COM,-,COM,-,-,-,DISP,-,-,-,M,-,0.0,15.625
7,person_5,COM,-,M,-,-,-,-,-,-,-,-,T1,-,-,-,T2,-,T2,-,T2,-,-,-,T1,-,-,-,T1,-,-,-,-,-,T2,-,-,-,T1,-,T2,-,CHX,-,-,-,-,-,CHX,-,-,-,T1,-,T2,-,T2,0.0,15.625
8,person_6,M,-,-,-,COM,-,-,-,M,-,-,-,-,T2,-,CHX,-,T1,-,-,-,-,-,-,-,T2,-,-,-,-,-,-,-,T1,-,-,-,-,M,-,COM,-,M,-,-,-,-,-,-,-,M,-,-,CHX,-,T2,0.0,15.625
9,person_2,-,T1,-,T2,-,-,-,-,-,T1,-,T2,-,-,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,T1,-,T1,-,-,-,T1,-,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,COM,-,0.0,15.625
10,person_10,-,-,-,-,-,-,-,-,-,-,-,CHX,-,-,-,T2,-,-,-,T1,-,-,-,-,COM,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,T1,-,T1,-,T1,-,-,-,-,-,-,-,-,-,T1,-,CHX,0.0,15.625
11,person_9,COM,-,COM,-,M,-,M,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,T2,-,-,-,-,M,-,M,-,COM,-,-,-,M,-,DISP,-,-,-,M,-,COM,-,COM,-,M,-,M,-,M,-,-,-,-,-,M,-,2.0,14.5
12,person_11,-,T2,-,T2,-,T1,-,T1,-,-,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,T1,-,-,-,T2,-,T1,-,-,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,-,2.0,14.5
13,person_3,-,CHX,-,T1,-,T2,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,M,-,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,T2,-,T1,-,-,COM,-,M,-,2.0,14.5
14,person_7,-,-,M,-,-,-,DISP,-,-,-,M,-,M,-,-,-,COM,-,M,-,M,-,-,-,-,-,COM,-,-,-,COM,-,M,-,M,-,-,-,M,-,COM,-,COM,-,M,-,COM,-,-,-,-,-,-,-,-,T2,2.0,14.5
15,person_1,M,-,COM,-,M,-,COM,-,-,-,COM,-,COM,-,-,-,M,-,M,-,-,-,M,-,-,CHX,-,T1,-,T1,-,CHX,-,T1,-,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,M,-,-,-,2.0,14.5
16,person_4,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,-,COM,-,M,-,COM,-,-,-,DISP,-,-,T2,-,CHX,-,-,-,CHX,-,CHX,-,-,-,-,COM,-,-,-,COM,-,-,-,COM,-,DISP,-,-,-,M,-,-,-,2.0,14.5
17,person_8,COM,-,-,-,COM,-,-,-,M,-,M,-,M,-,M,-,COM,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,COM,-,2.0,14.5
18,person_5,M,-,M,-,-,-,-,-,-,-,COM,-,COM,-,M,-,M,-,COM,-,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,T2,-,-,-,T1,-,CHX,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,T1,-,T1,2.0,14.5
19,person_6,-,-,-,-,-,-,-,-,DISP,-,-,T2,-,T2,-,T1,-,T1,-,T1,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,-,-,M,-,-,T2,-,T2,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,CHX,2.0,14.5
20,person_2,-,T1,-,T2,-,-,-,-,-,T1,-,T1,-,T1,-,T2,-,-,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,T1,-,T2,-,T1,2.0,14.5
21,person_10,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,M,-,M,-,COM,-,COM,-,M,-,-,-,-,-,DISP,-,-,-,M,-,M,-,-,-,-,-,-,-,M,-,-,CHX,-,T1,2.0,14.5
22,person_9,-,-,-,CHX,-,CHX,-,-,-,-,-,-,M,-,COM,-,M,-,COM,-,DISP,-,-,-,-,-,M,-,COM,-,-,-,COM,-,M,-,-,-,M,-,COM,-,M,-,COM,-,M,-,DISP,-,-,-,-,-,-,CHX,3.0,13.625
23,person_11,-,T2,-,-,-,-,-,T1,-,-,-,CHX,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,-,-,T1,-,CHX,-,-,-,T2,-,T1,-,-,-,-,-,T2,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,3.0,13.625
24,person_3,M,-,COM,-,COM,-,-,-,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,T1,-,-,COM,-,COM,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,-,CHX,-,-,-,T2,-,CHX,-,T1,-,-,M,-,M,-,3.0,13.625
25,person_7,-,-,M,-,M,-,DISP,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,-,-,DISP,-,-,-,-,CHX,3.0,13.625
26,person_1,COM,-,M,-,M,-,-,-,COM,-,-,T2,-,T2,-,-,-,T2,-,CHX,-,-,-,-,M,-,-,-,M,-,COM,-,M,-,DISP,-,-,-,COM,-,M,-,-,-,M,-,M,-,M,-,-,-,-,T1,-,T1,3.0,13.625
27,person_4,-,-,M,-,-,-,M,-,-,-,COM,-,-,-,-,-,COM,-,M,-,-,-,DISP,-,COM,-,M,-,-,-,-,-,-,-,DISP,-,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,-,-,-,M,-,-,-,3.0,13.625
28,person_8,M,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,COM,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,M,-,3.0,13.625
29,person_5,-,CHX,-,T2,-,T1,-,-,-,T1,-,T1,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,-,CHX,-,CHX,-,T2,-,T2,-,CHX,-,-,-,T1,-,CHX,-,T1,-,-,-,CHX,-,-,-,-,-,T1,-,-,COM,-,3.0,13.625
30,person_6,-,T1,-,T1,-,T2,-,-,-,-,-,-,-,CHX,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,T2,-,T1,-,T1,-,T1,-,-,-,-,-,T2,-,-,-,T2,-,T2,-,-,-,-,-,-,-,T2,-,T2,3.0,13.625
